#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 03 00  77 13.7 16.2  3.05  8.33  5.55 999 1014.2  27.6  27.7  23.5 99.0 99.00
2007 01 03 04 00  85 12.8 15.1  3.55  8.33  5.85 999 1014.1  27.5  27.7  23.9 99.0 99.00
2007 01 03 05 00  80 13.8 16.3 99.00 99.00 99.00 999 1013.8  27.4  27.7  23.3 99.0 99.00
2007 01 03 06 00  80 14.4 16.9  3.45  9.09  5.93 999 1013.5  27.5  27.7  23.2 99.0 99.00
2007 01 03 07 00  77 13.7 17.0  3.45  9.09  5.97 999 1013.1  27.3  27.7  23.5 99.0 99.00
2007 01 03 08 00  76 14.7 17.1  3.73  9.09  6.07 999 1013.0  27.6  27.7  22.8 99.0 99.00
2007 01 03 09 00  77 14.3 17.3  3.76  9.09  6.18 999 1013.3  27.4  27.7  22.4 99.0 99.00
2007 01 03 10 00  73 14.6 17.7  3.53  9.09  5.93 999 1013.5  27.3  27.7  22.4 99.0 99.00
2007 01 03 11 00  76 14.5 16.5  3.56  7.69  5.97 999 1013.9  27.4  27.6  22.1 99.0 99.00
2007 01 03 12 00  99 14.1 20.0  3.60  8.33  6.24 999 1015.0  23.2  27.6  21.9 99.0 99.00
2007 01 03 13 00  67 14.2 16.5  3.74  9.09  6.13 999 1015.6  27.8  27.6  22.6 99.0 99.00
2007 01 03 14 00  76 12.4 14.9  3.55  9.09  6.12 999 1016.2  27.7  27.6  23.1 99.0 99.00
2007 01 03 15 00  60 10.9 12.5  3.74  9.09  6.22 999 1016.5  27.4  27.6  23.3 99.0 99.00
2007 01 03 16 00  71 11.8 13.8  3.25  9.09  5.78 999 1016.2  27.7  27.7  23.4 99.0 99.00
2007 01 03 17 00  66 12.3 14.5  3.51  9.09  5.67 999 1015.3  27.3  27.7  23.7 99.0 99.00
2007 01 03 18 00  64 13.5 15.6  3.20  7.69  5.56 999 1014.0  27.2  27.7  23.3 99.0 99.00
2007 01 03 19 00  72 13.0 15.3  3.17  9.09  5.53 999 1013.3  27.9  27.7  22.7 99.0 99.00
2007 01 03 20 00  72 13.2 15.2  3.15  9.09  5.62 999 1012.8  27.6  27.7  23.6 99.0 99.00
2007 01 03 21 00  80 14.0 16.7  3.19  7.69  5.49 999 1012.6  27.9  27.7  23.0 99.0 99.00
2007 01 03 22 00  73 13.4 16.2  3.18  9.09  5.46 999 1012.7  27.6  27.6  23.4 99.0 99.00
2007 01 03 23 00  76 13.3 15.9  3.12  9.09  5.43 999 1013.0  27.5  27.6  23.3 99.0 99.00
2007 01 04 00 00  77 14.3 17.3  3.45  8.33  5.78 999 1013.3  27.7  27.6  22.8 99.0 99.00
2007 01 04 01 00  80 14.1 16.2  3.37  9.09  5.68 999 1014.2  27.7  27.6  22.8 99.0 99.00
2007 01 04 02 00  75 14.2 17.4  3.16  8.33  5.49 999 1014.8  27.7  27.6  22.6 99.0 99.00
2007 01 04 03 00  78 13.9 17.3  3.30  9.09  5.48 999 1015.0  27.7  27.6  22.6 99.0 99.00
2007 01 04 04 00  79 13.9 16.6 99.00 99.00 99.00 999 1014.8  27.6  27.6  23.4 99.0 99.00
2007 01 04 05 00  78 13.3 16.1  3.35  9.09  5.69 999 1014.3  27.6  27.6  23.4 99.0 99.00
2007 01 04 06 00  77 14.2 99.0 99.00 99.00 99.00 999 9999.0  27.5 999.0  23.0 99.0 99.00
2007 01 04 07 00  85 14.8 17.2  3.56  9.09  5.84 999 1013.3  27.4  27.6  22.6 99.0 99.00
2007 01 04 08 00  80 13.6 15.6  3.53  8.33  5.80 999 1013.0  27.3  27.6  23.1 99.0 99.00
2007 01 04 09 00  82 14.6 16.8  3.37  9.09  5.75 999 1013.0  27.4  27.6  22.7 99.0 99.00
2007 01 04 10 00  83 13.7 16.9  3.33  9.09  5.72 999 1013.2  27.3  27.6  23.2 99.0 99.00
2007 01 04 11 00  84 14.0 16.7  3.38  9.09  5.70 999 1013.7  27.3  27.7  23.0 99.0 99.00
2007 01 04 12 00  86 14.7 18.2 99.00 99.00 99.00 999 1014.0  27.6  27.7  22.4 99.0 99.00
2007 01 04 13 00  91 15.0 17.4  3.22  9.09  5.69 999 1014.7  27.7  27.8  22.9 99.0 99.00
2007 01 04 14 00  89 13.9 16.2  3.35  9.09  5.67 999 1015.3  27.8  27.8  23.2 99.0 99.00
2007 01 04 15 00  83 13.4 16.3  3.47  9.09  5.85 999 1015.4  28.8  27.9  23.5 99.0 99.00
2007 01 04 16 00  83 13.9 16.2  3.16  9.09  5.39 999 1014.9  27.8  27.7  22.8 99.0 99.00
2007 01 04 17 00  82 13.9 16.3  3.19  9.09  5.46 999 1014.4  28.0  27.7  22.5 99.0 99.00
2007 01 04 18 00  83 13.9 16.4 99.00 99.00 99.00 999 1013.7  28.1  27.8  22.4 99.0 99.00
2007 01 04 19 00  86 13.5 15.6  3.20  8.33  5.19 999 1012.7  28.1  27.8  22.5 99.0 99.00
2007 01 04 20 00  81 12.7 14.9  3.20  9.09  5.43 999 1012.2  27.9  27.9  23.3 99.0 99.00
2007 01 04 21 00  80 14.2 16.5  3.01  9.09  5.14 999 1011.8  27.8  27.9  22.7 99.0 99.00
2007 01 04 22 00  79 14.2 17.1  2.76  9.09  4.72 999 1011.8  27.7  27.9  22.6 99.0 99.00
2007 01 04 23 00  84 14.9 17.9  3.34  9.09  5.52 999 1011.7  27.4  27.9  22.7 99.0 99.00
2007 01 05 00 00  83 16.0 19.6  2.97  9.09  5.16 999 1011.8  27.4  27.8  22.4 99.0 99.00
2007 01 05 01 00  85 15.3 18.4 99.00 99.00 99.00 999 1012.5  27.2  27.7  22.8 99.0 99.00
2007 01 05 02 00  89 14.8 17.3  3.18  9.09  5.50 999 1013.0  27.2  27.6  23.0 99.0 99.00
2007 01 05 03 00  88 14.7 17.1  3.37  9.09  5.48 999 1013.4  27.2  27.5  22.4 99.0 99.00
2007 01 05 04 00  86 13.9 16.6  3.36  9.09  5.61 999 1013.4  27.0  27.5  22.9 99.0 99.00
2007 01 05 05 00  84 13.3 16.0  3.29  8.33  5.58 999 1013.1  27.1  27.5  22.3 99.0 99.00
2007 01 05 06 00  79 12.1 14.5  3.26  9.09  5.65 999 1012.7  27.2  27.5  22.4 99.0 99.00
2007 01 05 07 00  81 12.5 14.4 99.00 99.00 99.00 999 1012.2  27.1  27.5  22.2 99.0 99.00
2007 01 05 08 00  86 13.2 15.3  3.32  9.09  5.74 999 1011.9  27.2  27.5  21.8 99.0 99.00
2007 01 05 09 00  83 13.7 16.3  3.31  9.09  5.91 999 1012.0  27.2  27.5  22.0 99.0 99.00
2007 01 05 10 00  79 13.2 15.3  3.18  9.09  5.72 999 1012.1  27.1  27.5  22.4 99.0 99.00
2007 01 05 12 00  83 13.6 15.6  3.17  9.09  5.55 999 1012.9  27.3  27.6  22.1 99.0 99.00
2007 01 05 13 00  87 14.0 16.1  3.26  9.09  5.86 999 1013.5  27.6  27.6  22.3 99.0 99.00
2007 01 05 14 00  90 13.2 16.5  3.08  9.09  5.52 999 1014.1  28.1  27.7  22.1 99.0 99.00
