#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50  80 10.7 13.0  2.92  8.33  6.04 112 1012.9  27.3  27.1  22.1 99.0 99.00
2012 01 01 00 50  87 11.2 13.6  2.89  8.33  6.21 112 1013.6  27.3  27.1  21.9 99.0 99.00
2012 01 01 01 50  80 12.3 15.0  2.95  8.33  6.15  99 1014.2  27.3  27.1  21.9 99.0 99.00
2012 01 01 02 50  81 12.2 15.6  3.19  8.33  6.35 113 1014.5  27.4  27.1  21.7 99.0 99.00
2012 01 01 03 50  76 11.4 14.4  2.88  8.33  6.03 114 1014.3  27.3  27.1  22.3 99.0 99.00
2012 01 01 04 50  84 12.6 15.2  3.10  9.09  6.32 109 1013.8  27.3  27.1  21.1 99.0 99.00
2012 01 01 05 50  80 11.6 14.1  3.00  9.09  6.33 118 1013.3  27.1  27.1  21.8 99.0 99.00
2012 01 01 06 50  84 11.5 13.8  3.21  8.33  6.42 113 1012.7  26.7  27.1  21.4 99.0 99.00
2012 01 01 07 50  80 11.7 13.8  2.97  9.09  6.12 107 1012.1  27.0  27.1  21.4 99.0 99.00
2012 01 01 08 50  80 11.7 13.7  3.04  8.33  6.32 111 1012.0  27.0  27.1  21.1 99.0 99.00
2012 01 01 09 50  81 11.7 13.9  3.13  9.09  6.28 104 1012.2  26.9  27.1  21.4 99.0 99.00
2012 01 01 10 50  79 11.5 14.0  3.08  8.33  6.17 109 1012.7  27.1  27.1  21.5 99.0 99.00
2012 01 01 11 50  83 11.5 13.8  3.34  8.33  6.29 107 1013.7  27.1  27.1  21.9 99.0 99.00
2012 01 01 12 50  80 13.2 15.9  3.24  9.09  6.23 105 1014.4  27.4  27.1  20.9 99.0 99.00
2012 01 01 13 50  80 12.2 13.9  3.19  9.09  6.30 115 1015.1  27.4  27.1  21.1 99.0 99.00
2012 01 01 14 50  81 12.3 14.9  3.09  8.33  6.09 113 1015.2  27.5  27.1  21.4 99.0 99.00
2012 01 01 15 50  80 11.9 14.7  3.54  9.09  6.47 106 1014.9  27.4  27.1  22.0 99.0 99.00
2012 01 01 16 50  82 11.8 13.9  3.14  9.09  6.25 115 1013.8  27.3  27.1  22.2 99.0 99.00
2012 01 01 17 50  82 11.9 14.8  3.13  9.09  6.28 103 1012.9  27.4  27.1  21.6 99.0 99.00
2012 01 01 18 50  78 10.8 13.3  2.97  9.09  6.25 111 1012.1  27.3  27.1  22.0 99.0 99.00
2012 01 01 19 50  83 10.5 12.6  3.01  8.33  6.29  99 1011.8  27.4  27.1  21.9 99.0 99.00
2012 01 01 20 50  73 10.9 13.2  3.62  9.09  6.69 103 1011.9  27.4  27.1  22.0 99.0 99.00
2012 01 01 21 50  66 10.8 13.3  3.11  8.33  6.31 101 1012.3  27.1  27.1  22.4 99.0 99.00
2012 01 01 22 50  65 11.5 14.4  3.33  9.09  6.66  99 1012.6  27.0  27.1  22.6 99.0 99.00
2012 01 01 23 50  68 11.2 13.6  3.06  7.69  6.27  98 1013.2  27.0  27.1  22.3 99.0 99.00
2012 01 02 00 50  65 10.6 13.1  3.19  9.09  6.43 105 1013.9  26.9  27.1  22.8 99.0 99.00
2012 01 02 01 50  65 10.7 12.5  3.20  9.09  6.56 102 1014.5  26.7  27.1  22.7 99.0 99.00
2012 01 02 02 50  70 10.8 13.8  2.95  8.33  6.18 101 1014.7  27.0  27.1  22.2 99.0 99.00
2012 01 02 03 50  67  9.8 11.6  2.74  9.09  5.97  96 1014.5  27.0  27.1  22.0 99.0 99.00
2012 01 02 04 50  72 10.3 12.4  2.75  9.09  6.02 103 1013.9  26.8  27.1  21.9 99.0 99.00
2012 01 02 05 50  73  9.9 11.9  2.74  8.33  6.34  95 1013.2  26.8  27.1  22.2 99.0 99.00
2012 01 02 08 50  72 10.4 12.2  2.76  9.09  6.21 105 1012.0  26.8  27.1  21.8 99.0 99.00
2012 01 02 09 50  79 10.8 13.1  2.70  9.09  6.10 105 1011.9  26.9  27.1  21.8 99.0 99.00
2012 01 02 10 50  75 11.3 13.8  2.74  9.09  5.91 100 1012.3  26.9  27.1  21.4 99.0 99.00
2012 01 02 11 50  71 10.7 12.5  3.08  9.09  6.21  96 1013.2  26.9  27.1  21.9 99.0 99.00
2012 01 02 12 50  78 11.3 13.9  2.63  8.33  5.78 104 1014.1  27.1  27.1  21.5 99.0 99.00
2012 01 02 13 50  77 10.7 13.0  2.54  9.09  5.76  89 1014.7  27.3  27.1  21.7 99.0 99.00
2012 01 02 14 50  85 10.7 13.0  2.88  8.33  6.18 108 1014.4  27.3  27.1  21.6 99.0 99.00
2012 01 02 15 50  89 10.5 12.3  2.76  8.33  5.80  96 1014.0  27.2  27.1  21.1 99.0 99.00
2012 01 02 16 50  83  9.6 11.2  2.79  8.33  6.15 103 1013.5  27.2  27.1  21.4 99.0 99.00
2012 01 02 17 50  85  9.6 11.4  2.53  9.09  5.98 100 1012.6  27.2  27.2  21.2 99.0 99.00
2012 01 02 18 50  81  8.2  9.5  2.66  8.33  6.11 104 1012.1  27.1  27.2  21.5 99.0 99.00
2012 01 02 19 50  72  9.0 10.7  2.53  8.33  6.02 100 1011.9  27.1  27.2  21.9 99.0 99.00
2012 01 02 20 50  75  8.8 11.1  2.30  8.33  5.72  98 1012.1  27.2  27.2  21.6 99.0 99.00
2012 01 02 21 50  67  8.3  9.5  2.50  8.33  6.09 101 1012.6  26.9  27.1  22.1 99.0 99.00
2012 01 02 22 50  68  8.5 10.4  2.50  8.33  6.11  97 1012.9  26.7  27.1  22.2 99.0 99.00
2012 01 02 23 50  51  8.6  9.9  2.49  7.69  6.09  95 1013.5  26.4  27.1  21.7 99.0 99.00
2012 01 03 00 50  63  8.5 10.1  2.30  8.33  6.02  97 1014.4  26.7  27.1  22.1 99.0 99.00
2012 01 03 01 50  60  7.9  9.2  2.31  8.33  5.96  97 1015.1  26.4  27.1  21.3 99.0 99.00
2012 01 03 02 50  53  6.5  7.8  2.29  8.33  6.02  90 1015.5  26.3  27.1  22.0 99.0 99.00
2012 01 03 03 50  62  8.7  9.9  2.00  7.69  5.90  97 1015.3  26.8  27.1  22.2 99.0 99.00
2012 01 03 04 50  58  8.8 10.0  2.27  8.33  5.99  90 1015.0  26.7  27.1  22.0 99.0 99.00
2012 01 03 05 50  69  7.7  9.3  2.27  7.69  5.97  91 1014.9  26.5  27.1  21.4 99.0 99.00
2012 01 03 06 50  51  7.5  9.8  2.10  8.33  5.95  90 1014.3  26.5  27.1  21.8 99.0 99.00
2012 01 03 07 50  59  7.4  8.5  2.05  8.33  5.85  91 1013.9  26.6  27.1  21.9 99.0 99.00
2012 01 03 08 50  62  7.3  9.2  2.15  7.69  5.95  93 1013.9  26.6  27.1  22.0 99.0 99.00
2012 01 03 09 50  60  7.8  9.1  2.07  8.33  5.98  96 1014.1  26.5  27.1  21.8 99.0 99.00
2012 01 03 10 50  59  7.5  8.6  1.93  7.69  5.77  90 1014.7  26.5  27.1  21.7 99.0 99.00
2012 01 03 11 50  65  6.7  7.9  1.91  7.69  5.86  92 1015.3  26.5  27.1  21.6 99.0 99.00
2012 01 03 12 50  64  7.0  8.5  1.73  8.33  5.72 105 1016.0  26.8  27.1  21.4 99.0 99.00
2012 01 03 13 50  49  6.7  8.3  1.80  7.69  5.81  85 1016.7  26.8  27.1  21.8 99.0 99.00
2012 01 03 14 50  54  6.9  8.8  1.66  8.33  5.77  92 1016.6  26.8  27.1  21.7 99.0 99.00
2012 01 03 15 50  51  7.2  8.4  1.73  8.33  5.77  91 1016.2  26.8  27.1  21.7 99.0 99.00
2012 01 03 16 50  54  7.0  8.0  1.70  8.33  5.82  90 1015.3  26.7  27.2  21.6 99.0 99.00
2012 01 03 17 50  54  6.5  8.3  1.63  7.69  5.63  90 1014.4  26.7  27.2  21.7 99.0 99.00
2012 01 03 18 50  42  6.5  7.7  1.64  8.33  5.75  81 1013.8  26.8  27.2  22.1 99.0 99.00
2012 01 03 19 50  48  8.1 11.1  1.56  7.69  5.48  87 1013.5  26.7  27.3  21.9 99.0 99.00
2012 01 03 20 50  53  7.8  9.0  1.60  8.33  5.52  79 1013.5  26.9  27.2  21.5 99.0 99.00
2012 01 03 21 50  36  7.3  8.5  1.56  7.69  5.37  82 1014.0  26.6  27.2  22.0 99.0 99.00
2012 01 03 22 50  48  8.7 10.4  1.51  7.69  5.17  88 1014.4  26.7  27.2  21.7 99.0 99.00
2012 01 03 23 50  55  8.9 10.1  1.56  8.33  5.15  78 1014.8  26.7  27.2  22.0 99.0 99.00
2012 01 04 00 50  47  9.1 10.6  1.56  7.69  5.07  88 1015.4  26.7  27.2  21.8 99.0 99.00
2012 01 04 01 50  59  8.7 10.5  1.59  7.69  4.97  86 1015.8  26.7  27.2  21.8 99.0 99.00
2012 01 04 02 50  48  8.3  9.4  1.63  7.69  5.18  85 1016.1  26.8  27.1  21.1 99.0 99.00
2012 01 04 03 50  54  7.5  9.2  1.45  7.69  5.02  85 1015.9  26.7  27.1  21.2 99.0 99.00
2012 01 04 04 50  40  8.2 10.0  1.47  7.69  4.98  96 1015.5  26.8  27.1  20.9 99.0 99.00
2012 01 04 05 50  45  7.2  8.5  1.48  7.69  5.23  79 1015.1  26.6  27.1  21.3 99.0 99.00
2012 01 04 06 50  48  7.4  8.7  1.53  7.14  5.20  86 1014.5  26.5  27.1  21.2 99.0 99.00
2012 01 04 07 50  42  6.8  8.2  1.40  7.69  5.10  88 1014.1  26.4  27.1  21.3 99.0 99.00
2012 01 04 08 50  33  6.7  8.2  1.36  7.14  5.02  80 1014.2  25.2  27.1  20.7 99.0 99.00
2012 01 04 09 50  30  7.0  9.1  1.42  7.69  5.14  90 1014.3  25.6  27.1  21.5 99.0 99.00
2012 01 04 10 50  54  9.6 13.5  1.38  7.69  4.97  90 1014.5  25.5  27.1  21.4 99.0 99.00
2012 01 04 11 50  18  6.7  7.6  1.52  7.69  5.21  78 1015.3  25.4  27.1  21.7 99.0 99.00
