#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 05 18 17 50 126  2.5  4.9  0.25  7.69  5.87  12 1011.3  28.1  30.8  21.7 99.0 99.00
2011 05 18 18 50 118  2.5  4.6  0.25  7.69  6.01  16 1011.1  28.2  31.2  21.5 99.0 99.00
2011 05 18 19 50 122  2.7  4.6  0.26  7.14  5.76   9 1010.4  28.1  31.5  21.7 99.0 99.00
2011 05 18 20 50 116  2.8  5.2  0.28  7.14  6.01 356 1010.2  28.2  31.6  21.4 99.0 99.00
2011 05 18 21 50 117  3.1  5.6  0.28  6.67  5.58 169 1009.8  28.1  31.9  21.6 99.0 99.00
2011 05 18 22 50 112  2.5  4.3  0.29  5.26  5.50 244 1010.0  27.9  31.7  21.1 99.0 99.00
2011 05 18 23 50 108  2.8  4.8  0.25 99.00  5.95 999 1010.4  27.5  30.2  21.0 99.0 99.00
2011 05 19 00 50 106  3.1  5.3  0.29  6.25  5.82 143 1010.8  27.4  29.1  21.1 99.0 99.00
2011 05 19 01 50 105  3.6  6.1  0.25 99.00  6.06 999 1011.4  27.3  28.6  21.6 99.0 99.00
2011 05 19 02 50 104  2.8  5.6  0.41  7.69  7.35  39 1012.1  27.3  28.4  21.4 99.0 99.00
2011 05 19 03 50 118  4.6  5.8  0.24 99.00  6.85 999 1012.6  27.3  28.2  21.6 99.0 99.00
2011 05 19 04 50 133  8.4 10.1  0.29  7.69  6.43 310 1012.7  27.1  28.0  21.7 99.0 99.00
2011 05 19 05 50 131  8.8 10.1  0.29  7.69  7.02  65 1012.7  27.1  27.8  22.3 99.0 99.00
2011 05 19 06 50  99  1.9  4.2  0.21 99.00  6.72 999 1012.6  27.0  27.6  21.5 99.0 99.00
2011 05 19 07 50 114  1.4  5.5  0.16 99.00  6.10 999 1012.1  26.9  27.5  21.0 99.0 99.00
2011 05 19 08 50 132  0.9  2.7  0.17 99.00  6.03 999 1011.9  26.8  27.3  21.1 99.0 99.00
2011 05 19 09 50 121  2.7  6.4  0.20 99.00  6.36 999 1012.2  26.7  27.2  20.7 99.0 99.00
2011 05 19 10 50 122  3.7  7.8  0.22 99.00  6.56 999 1012.5  26.8  27.2  20.9 99.0 99.00
2011 05 19 11 50 116  4.0  6.2  0.22 99.00  6.70 999 1012.9  27.3  27.3  20.8 99.0 99.00
2011 05 19 12 50 105  5.2  6.4  0.40  7.69  7.18  24 1013.5  27.5  28.0  21.3 99.0 99.00
2011 05 19 13 50 107  4.6  6.1  0.35  7.69  7.23  29 1013.9  27.8  29.0  21.3 99.0 99.00
2011 05 19 14 50  98  2.2  4.6  0.24 99.00  6.78 999 1014.1  27.9  29.8  20.9 99.0 99.00
2011 05 19 15 50  99  2.6  4.4  0.12 99.00  5.86 999 1014.2  28.1  30.4  21.2 99.0 99.00
2011 05 19 16 50  95  2.5  4.8  0.15 99.00  5.97 999 1014.2  28.6  31.3  21.5 99.0 99.00
2011 05 19 17 50  88  3.0  5.9  0.13 99.00  6.00 999 1014.1  28.8  32.5  21.8 99.0 99.00
2011 05 19 18 50  88  4.5  6.7  0.13 99.00  5.72 999 1013.7  28.8  33.4  22.0 99.0 99.00
2011 05 19 19 50  84  3.3  5.0  0.11 99.00  5.83 999 1013.1  28.6  33.5  21.5 99.0 99.00
