#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 12 31 23 50  78 10.7 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 01 01 50  88 10.4 12.2 99.00 99.00 99.00 999 1013.8 999.0  27.6 999.0 99.0 99.00
2013 01 01 02 50  84 10.6 12.7 99.00 99.00 99.00 999 1013.9 999.0  27.6 999.0 99.0 99.00
2013 01 01 04 50  76 11.4 13.6 99.00 99.00 99.00 999 1013.3 999.0  27.6 999.0 99.0 99.00
2013 01 01 05 50  70 10.4 99.0 99.00 99.00 99.00 999 9999.0  26.9 999.0 999.0 99.0 99.00
2013 01 01 07 50  80 10.7 12.3 99.00 99.00 99.00 999 1011.9 999.0  27.6 999.0 99.0 99.00
2013 01 01 11 50  79 11.7 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 01 12 50  75 11.1 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 01 13 50  76 11.3 99.0 99.00 99.00 99.00 999 1014.6 999.0 999.0 999.0 99.0 99.00
2013 01 01 15 50  75  9.6 99.0 99.00 99.00 99.00 999 1014.5 999.0  27.6 999.0 99.0 99.00
2013 01 01 16 50  81 12.1 14.4 99.00 99.00 99.00 999 1013.3 999.0  27.6 999.0 99.0 99.00
2013 01 01 21 50  76 10.9 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 02 00 50  79 11.7 14.2 99.00 99.00 99.00 999 1011.6 999.0  27.6 999.0 99.0 99.00
2013 01 02 02 50  83 11.7 99.0 99.00 99.00 99.00 999 1012.2 999.0 999.0 999.0 99.0 99.00
2013 01 02 03 50  88 11.5 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 02 05 50  84 11.4 99.0 99.00 99.00 99.00 999 1010.9 999.0 999.0 999.0 99.0 99.00
2013 01 02 06 50  86 11.5 13.8 99.00 99.00 99.00 999 1010.1 999.0  27.6 999.0 99.0 99.00
2013 01 02 07 50  85 11.2 13.6 99.00 99.00 99.00 999 1009.7 999.0  27.6 999.0 99.0 99.00
2013 01 02 09 50 999 99.0 99.0 99.00 99.00 99.00 999 1009.9 999.0 999.0 999.0 99.0 99.00
2013 01 02 11 50 100 11.0 13.1 99.00 99.00 99.00 999 1011.4 999.0  27.5 999.0 99.0 99.00
2013 01 02 12 50  88 11.3 13.6 99.00 99.00 99.00 999 1011.9 999.0  27.5 999.0 99.0 99.00
2013 01 02 13 50  97 10.5 12.3 99.00 99.00 99.00 999 1012.6 999.0  27.6 999.0 99.0 99.00
2013 01 02 15 50  85  9.7 11.4 99.00 99.00 99.00 999 1012.5  27.8  27.6 999.0 99.0 99.00
2013 01 02 16 50  88 10.6 12.6 99.00 99.00 99.00 999 9999.0  27.5  27.6 999.0 99.0 99.00
2013 01 02 17 50  78 10.6 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 02 20 50  80 10.7 99.0 99.00 99.00 99.00 999 1010.1 999.0 999.0 999.0 99.0 99.00
2013 01 02 21 50  75 10.9 13.2 99.00 99.00 99.00 999 1010.3 999.0  27.6 999.0 99.0 99.00
2013 01 02 23 50  75 11.5 13.8 99.00 99.00 99.00 999 1010.9  27.3  27.6 999.0 99.0 99.00
2013 01 03 00 50  84 11.1 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 03 03 50  85 10.6 12.6 99.00 99.00 99.00 999 1012.6 999.0  27.5 999.0 99.0 99.00
2013 01 03 04 50  79 10.4 12.3 99.00 99.00 99.00 999 1012.2 999.0  27.5 999.0 99.0 99.00
2013 01 03 05 50  86 10.1 99.0 99.00 99.00 99.00 999 1012.1 999.0 999.0 999.0 99.0 99.00
2013 01 03 06 50  85  9.8 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 03 09 50  89 10.3 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 03 10 50 999 99.0 12.7 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 03 11 50  83 10.5 99.0 99.00 99.00 99.00 999 1012.7 999.0  27.5 999.0 99.0 99.00
2013 01 03 12 50  88 10.6 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 03 13 50  91 10.3 12.7 99.00 99.00 99.00 999 1013.9 999.0  27.5 999.0 99.0 99.00
2013 01 03 14 50  95 11.2 13.6 99.00 99.00 99.00 999 1014.0  27.6  27.5 999.0 99.0 99.00
2013 01 03 15 50  95 11.2 13.2 99.00 99.00 99.00 999 1013.9 999.0  27.6 999.0 99.0 99.00
2013 01 03 16 50  97 10.8 12.6 99.00 99.00 99.00 999 1013.4  27.8  27.6 999.0 99.0 99.00
2013 01 03 18 50  85 10.4 12.1 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 03 19 50  84  9.9 11.9 99.00 99.00 99.00 999 1011.7  27.8  27.6 999.0 99.0 99.00
2013 01 03 20 50  78  9.4 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 03 22 50  77 10.6 12.7 99.00 99.00 99.00 999 1012.6  27.4  27.6 999.0 99.0 99.00
2013 01 03 23 50  68 10.6 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 04 00 50  70 10.9 13.2 99.00 99.00 99.00 999 1013.9  27.4  27.6 999.0 99.0 99.00
2013 01 04 01 50  73 12.1 99.0 99.00 99.00 99.00 999 1014.3 999.0  27.6 999.0 99.0 99.00
2013 01 04 02 50  69 11.6 13.3 99.00 99.00 99.00 999 1014.6  27.3  27.6 999.0 99.0 99.00
2013 01 04 03 50  70 11.8 13.3 99.00 99.00 99.00 999 1014.3 999.0  27.5 999.0 99.0 99.00
2013 01 04 08 50  78 11.7 99.0 99.00 99.00 99.00 999 1012.6  27.1  27.5 999.0 99.0 99.00
2013 01 04 11 50  84 11.1 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 04 12 50  81 11.1 99.0 99.00 99.00 99.00 999 1015.1 999.0  27.5 999.0 99.0 99.00
2013 01 04 16 50  89 11.7 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 04 17 50  80 11.3 13.6 99.00 99.00 99.00 999 1013.8  27.8  27.6 999.0 99.0 99.00
2013 01 04 18 50  81 11.3 13.1 99.00 99.00 99.00 999 1012.9 999.0  27.6 999.0 99.0 99.00
2013 01 04 19 50  82 99.0 12.2 99.00 99.00 99.00 999 1012.6 999.0  27.6 999.0 99.0 99.00
2013 01 04 20 50  85 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2013 01 04 21 50  78 10.8 12.4 99.00 99.00 99.00 999 1012.6  27.7  27.6 999.0 99.0 99.00
