#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 03 15 18 40  88  8.4 10.7 99.00 99.00 99.00 999 1016.5  26.6 999.0  23.3 99.0 99.00 
2017 03 15 18 50  97  8.5 10.2 99.00 99.00 99.00 999 1016.4  26.7 999.0  22.8 99.0 99.00 
2017 03 15 19 00 110  7.8  9.8 99.00 99.00 99.00 999 1016.4  26.6 999.0  23.0 99.0 99.00 
2017 03 15 19 10 116  6.7  8.4 99.00 99.00 99.00 999 1016.4  26.3 999.0  23.5 99.0 99.00 
2017 03 15 19 20 117  6.3  7.6 99.00 99.00 99.00 999 1016.4  26.2 999.0  23.3 99.0 99.00 
2017 03 15 19 30 115  5.7  6.9 99.00 99.00 99.00 999 1015.0  26.3  26.7  23.2 99.0 99.00 
2017 03 15 19 40 114  5.5  6.6  1.40 10.00  5.01  58 1015.1  26.3  26.7  23.0 99.0 99.00 
2017 03 15 19 50 110  5.3  6.6 99.00 99.00 99.00 999 1015.1  26.4  26.7  22.9 99.0 99.00 
2017 03 15 20 00 107  5.1  6.4 99.00 99.00 99.00 999 1015.2  26.4  26.8  23.0 99.0 99.00 
2017 03 15 20 10 103  4.8  6.1 99.00 99.00 99.00 999 1015.2  26.4  26.8  22.8 99.0 99.00 
2017 03 15 20 20  83  6.0  8.8 99.00 99.00 99.00 999 1015.2  26.5  26.8  23.2 99.0 99.00 
2017 03 15 20 30  81  7.5  9.1 99.00 99.00 99.00 999 1015.2  26.5  26.7  22.9 99.0 99.00 
2017 03 15 20 40  79  7.3  8.5  1.41 10.00  5.19  62 1015.3  26.6  26.7  23.3 99.0 99.00 
2017 03 15 20 50  78  7.7  9.5 99.00 99.00 99.00 999 1015.3  26.5  26.7  23.2 99.0 99.00 
2017 03 15 21 00  80  7.6  9.4 99.00 99.00 99.00 999 1015.4  26.5  26.7  23.3 99.0 99.00 
2017 03 15 21 10  76  8.2 10.0 99.00 99.00 99.00 999 1015.5  26.5  26.7  23.3 99.0 99.00 
2017 03 15 21 20  79  7.8  9.8 99.00 99.00 99.00 999 1015.5  26.5  26.7  23.5 99.0 99.00 
2017 03 15 21 30  75  8.1  9.6 99.00 99.00 99.00 999 1015.6  26.5  26.7  23.4 99.0 99.00 
2017 03 15 21 40  78  7.8  9.5  1.46  9.09  5.15  79 1015.6  26.5  26.7  23.3 99.0 99.00 
2017 03 15 21 50  76  8.1  9.6 99.00 99.00 99.00 999 1015.7  26.4  26.7  23.1 99.0 99.00 
2017 03 15 22 00  77  8.2 10.0 99.00 99.00 99.00 999 1015.8  26.4  26.7  23.1 99.0 99.00 
2017 03 15 22 10  83  8.4 10.5 99.00 99.00 99.00 999 1015.8  26.4  26.7  23.1 99.0 99.00 
2017 03 15 22 20  82  8.3 10.2 99.00 99.00 99.00 999 1015.8  26.4  26.7  23.2 99.0 99.00 
2017 03 15 22 30  83  8.5 10.2 99.00 99.00 99.00 999 1015.9  26.4  26.7  23.2 99.0 99.00 
2017 03 15 22 40  81  8.6 10.8  1.59  6.25  5.22  93 1016.0  26.4  26.7  23.4 99.0 99.00 
2017 03 15 22 50  80  8.7 10.3 99.00 99.00 99.00 999 1016.0  26.4  26.7  23.3 99.0 99.00 
2017 03 15 23 00  78  8.9 10.6 99.00 99.00 99.00 999 1016.1  26.3  26.7  23.3 99.0 99.00 
2017 03 15 23 10  77  8.7 10.6 99.00 99.00 99.00 999 1016.1  26.3  26.7  23.3 99.0 99.00 
2017 03 15 23 20  81  8.6 10.6 99.00 99.00 99.00 999 1016.2  26.4  26.7  23.3 99.0 99.00 
2017 03 15 23 30  81  8.7 10.7 99.00 99.00 99.00 999 1016.4  26.4  26.7  23.3 99.0 99.00 
2017 03 15 23 40  77  8.3 10.2  1.71  9.09  5.25  83 1016.4  26.4  26.6  23.4 99.0 99.00 
2017 03 15 23 50  81  9.1 11.5 99.00 99.00 99.00 999 1016.5  26.4  26.7  23.1 99.0 99.00 
2017 03 16 00 00  83  9.2 11.1 99.00 99.00 99.00 999 1016.6  26.4  26.7  23.2 99.0 99.00 
2017 03 16 00 10  83  9.0 11.3 99.00 99.00 99.00 999 1016.6  26.4  26.7  23.3 99.0 99.00 
2017 03 16 00 20  81  8.8 10.9 99.00 99.00 99.00 999 1016.8  26.4  26.7  23.2 99.0 99.00 
2017 03 16 00 30  80  9.1 11.3 99.00 99.00 99.00 999 1016.9  26.6  26.6  22.3 99.0 99.00 
2017 03 16 00 40  80  8.9 10.7  1.70  5.88  5.17  91 1017.1  26.6  26.6  22.5 99.0 99.00 
2017 03 16 00 50  78  9.0 11.1 99.00 99.00 99.00 999 1017.3  26.6  26.6  22.7 99.0 99.00 
2017 03 16 01 00  78  9.3 11.1 99.00 99.00 99.00 999 1017.3  26.5  26.6  22.6 99.0 99.00 
2017 03 16 01 10  79  9.2 11.2 99.00 99.00 99.00 999 1017.3  26.5  26.6  22.8 99.0 99.00 
2017 03 16 01 20  81  8.8 11.0 99.00 99.00 99.00 999 1017.4  26.5  26.6  22.9 99.0 99.00 
2017 03 16 01 30  82  9.1 11.0 99.00 99.00 99.00 999 1017.4  26.4  26.6  22.7 99.0 99.00 
2017 03 16 01 40  81  9.3 11.1  1.72  5.88  5.10  86 1017.3  26.4  26.6  22.8 99.0 99.00 
2017 03 16 01 50  82  9.5 11.4 99.00 99.00 99.00 999 1017.4  26.3  26.6  22.5 99.0 99.00 
2017 03 16 02 00  79  9.1 10.8 99.00 99.00 99.00 999 1017.4  26.3  26.6  22.6 99.0 99.00 
2017 03 16 02 10  76  9.2 10.8 99.00 99.00 99.00 999 1017.5  26.3  26.6  22.7 99.0 99.00 
2017 03 16 02 20  81  9.1 11.0 99.00 99.00 99.00 999 1017.5  26.3  26.6  22.6 99.0 99.00 
2017 03 16 02 30  82  8.9 11.0 99.00 99.00 99.00 999 1017.5  26.2  26.6  22.8 99.0 99.00 
2017 03 16 02 40  78  8.6 10.4  1.67  5.88  5.14  93 1017.5  26.2  26.6  22.8 99.0 99.00 
2017 03 16 02 50  78  8.9 10.7 99.00 99.00 99.00 999 1017.4  26.2  26.6  22.2 99.0 99.00 
2017 03 16 03 00  81  8.6 10.4 99.00 99.00 99.00 999 1017.4  26.2  26.6  22.5 99.0 99.00 
2017 03 16 03 10  81  8.7 10.7 99.00 99.00 99.00 999 1017.5  26.2  26.6  22.6 99.0 99.00 
2017 03 16 03 20  80  8.8 10.7 99.00 99.00 99.00 999 1017.4  26.2  26.6  22.6 99.0 99.00 
2017 03 16 03 30  80  8.8 10.8 99.00 99.00 99.00 999 1017.4  26.2  26.6  22.6 99.0 99.00 
2017 03 16 03 40  80  8.7 10.7  1.77  8.33  5.20  87 1017.4  26.1  26.6  22.6 99.0 99.00 
2017 03 16 03 50  81  8.5 10.0 99.00 99.00 99.00 999 1017.4  26.1  26.6  22.6 99.0 99.00 
2017 03 16 04 00  81  8.6 10.4 99.00 99.00 99.00 999 1017.4  26.1  26.6  22.7 99.0 99.00 
2017 03 16 04 10  81  9.1 11.2 99.00 99.00 99.00 999 1017.2  26.2  26.6  22.7 99.0 99.00 
2017 03 16 04 20  81  8.9 10.8 99.00 99.00 99.00 999 1017.2  26.1  26.6  22.4 99.0 99.00 
