#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 03 28 19 00  28  4.0  5.6 99.00 99.00 99.00 999 1013.1  26.2  27.4  20.5 99.0 99.00 
2018 03 28 19 10  37  4.1  5.4 99.00 99.00 99.00 999 1013.1  26.2  27.4  20.5 99.0 99.00 
2018 03 28 19 20  43  4.4  5.8 99.00 99.00 99.00 999 1012.9  26.2  27.3  20.8 99.0 99.00 
2018 03 28 19 30  36  4.4  5.6 99.00 99.00 99.00 999 1012.9  26.2  27.4  20.6 99.0 99.00 
2018 03 28 19 40  34  4.8  6.1  0.85 10.00  5.27  30 1012.9  26.2  27.4  20.4 99.0 99.00 
2018 03 28 19 50  40  4.5  5.8 99.00 99.00 99.00 999 1013.0  26.2  27.4  20.5 99.0 99.00 
2018 03 28 20 00  39  4.4  5.6 99.00 99.00 99.00 999 1012.9  26.3  27.4  20.6 99.0 99.00 
2018 03 28 20 10  40  5.0  6.4 99.00 99.00 99.00 999 1013.0  26.3  27.4  20.4 99.0 99.00 
2018 03 28 20 20  41  4.6  6.0 99.00 99.00 99.00 999 1013.0  26.2  27.4  20.4 99.0 99.00 
2018 03 28 20 30  31  4.9  6.4 99.00 99.00 99.00 999 1013.0  26.3  27.4  20.3 99.0 99.00 
2018 03 28 20 40  34  5.0  6.4  0.82 10.00  5.58  31 1013.0  26.3  27.4  20.3 99.0 99.00 
2018 03 28 20 50  33  5.0  6.5 99.00 99.00 99.00 999 1013.1  26.4  27.3  20.2 99.0 99.00 
2018 03 28 21 00  38  4.9  5.8 99.00 99.00 99.00 999 1013.2  26.4  27.3  20.3 99.0 99.00 
2018 03 28 21 10  34  4.6  6.1 99.00 99.00 99.00 999 1013.2  26.4  27.3  20.8 99.0 99.00 
2018 03 28 21 20  27  4.4  5.6 99.00 99.00 99.00 999 1013.3  26.4  27.3  20.9 99.0 99.00 
2018 03 28 21 30  28  4.5  5.6 99.00 99.00 99.00 999 1013.3  26.4  27.3  20.7 99.0 99.00 
2018 03 28 21 40  23  4.4  5.4  0.81 10.00  5.50  75 1013.3  26.4  27.3  20.6 99.0 99.00 
