#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 05 25 01 50  81  7.9  9.1  1.62  7.69  5.27 111 1016.1  27.0  27.3  24.2 99.0 99.00
2015 05 25 02 50  75  9.1 10.9  1.74  7.14  5.14 108 1016.4  27.2  27.2  24.5 99.0 99.00
2015 05 25 03 50  77  9.3 11.4  1.81  7.14  4.90 100 1016.3  27.1  27.2  24.4 99.0 99.00
2015 05 25 04 50  79  7.5  9.0  1.81  7.14  5.49 109 1016.0  26.9  27.1  24.5 99.0 99.00
2015 05 25 05 50  86  7.2  8.3  1.73  7.69  5.52 109 1015.4  26.9  27.1  24.1 99.0 99.00
2015 05 25 06 50  94  6.9  8.0  1.65  6.67  5.31  94 1015.1  26.8  27.1  24.1 99.0 99.00
2015 05 25 07 50  91  6.7  8.2  1.84  7.69  5.65 102 1015.1  26.8  27.1  24.0 99.0 99.00
2015 05 25 08 50  97  6.7  7.8  1.67  6.67  5.39  95 1015.2  26.8  27.1  24.1 99.0 99.00
2015 05 25 09 50  92  6.9  8.1  1.76  7.69  5.58 108 1015.4  26.8  27.1  24.0 99.0 99.00
2015 05 25 10 50  99  6.8  8.2  1.78  7.69  5.44 115 1015.8  26.9  27.1  23.9 99.0 99.00
2015 05 25 11 50  92  7.0  8.3  1.72  7.14  5.28 104 1016.2  27.0  27.1  23.7 99.0 99.00
2015 05 25 12 50  87  6.9  8.0  1.76  7.14  5.49 108 1016.5  27.0  27.1  23.7 99.0 99.00
2015 05 25 13 50  96  6.1  7.2  1.59  7.69  5.38 108 1016.9  26.9  27.1  24.2 99.0 99.00
2015 05 25 14 50  96  5.8  7.2  1.65  7.69  5.71 107 1016.8  27.0  27.1  24.4 99.0 99.00
2015 05 25 15 50 106  5.9  6.9  1.64  7.14  5.49 114 1016.6  27.1  27.2  23.8 99.0 99.00
2015 05 25 16 50  96  5.7  6.7  1.64  7.14  5.46 109 1016.2  27.1  27.2  23.9 99.0 99.00
2015 05 25 17 50  97  5.5  6.8  1.62  7.69  5.47 102 1015.8  27.2  27.3  24.1 99.0 99.00
2015 05 25 18 50  89  5.4  6.4  1.61  6.67  5.48  92 1015.2  27.0  27.3  23.7 99.0 99.00
2015 05 25 19 50  96  5.3  6.9  1.66  6.67  5.44  91 1014.8  27.0  27.3  24.0 99.0 99.00
2015 05 25 20 50  89  5.9  7.1  1.65  6.67  5.32  94 1014.7  27.2  27.3  23.8 99.0 99.00
2015 05 25 21 50  77  6.9  8.2  1.48  6.25  5.20  98 1014.6  27.2  27.3  23.6 99.0 99.00
2015 05 25 22 50  81  7.3  8.9  1.54  6.67  5.29  86 1015.1  27.1  27.3  23.5 99.0 99.00
2015 05 25 23 50  78  8.1  9.0  1.67  7.14  5.28  99 1015.3  27.1  27.3  23.4 99.0 99.00
2015 05 26 00 50  83  7.7  8.8  1.67  6.67  5.25  95 1015.8  27.1  27.2  23.1 99.0 99.00
2015 05 26 01 50  86  7.5  8.8  1.45  6.25  4.95  93 1015.9  27.0  27.2  23.4 99.0 99.00
2015 05 26 02 50  81  7.2  8.8  1.51  7.14  5.11  99 1016.1  27.1  27.2  23.4 99.0 99.00
2015 05 26 03 50  78  7.6  8.7  1.44  7.69  5.11  97 1016.0  27.0  27.1  23.5 99.0 99.00
2015 05 26 04 50  81  6.9  8.1  1.52  7.14  5.28 100 1015.6  26.8  27.1  23.8 99.0 99.00
2015 05 26 05 50  80  7.3  8.2  1.40  7.14  5.02  98 1015.0  26.9  27.1  23.3 99.0 99.00
2015 05 26 06 50  90  6.5  7.8  1.38  6.67  5.10  96 1014.7  26.8  27.1  23.2 99.0 99.00
2015 05 26 07 50  87  7.0  8.3  1.37  7.14  5.06 105 1014.6  26.8  27.0  23.0 99.0 99.00
2015 05 26 08 50  83  6.0  7.1  1.45  7.69  5.27 110 1014.8  26.7  27.0  23.2 99.0 99.00
2015 05 26 09 50  90  6.3  7.2  1.42  6.67  5.29  93 1014.9  26.6  27.0  23.1 99.0 99.00
2015 05 26 10 50  82  7.4  8.8  1.48  7.14  5.28 108 1015.4  26.7  27.0  22.9 99.0 99.00
2015 05 26 11 50  79  6.7  7.6  1.41  6.67  5.22 105 1015.9  26.9  27.0  22.7 99.0 99.00
2015 05 26 12 50  97  5.9  7.1  1.50  6.25  5.29 101 1016.4  26.7  27.0  22.8 99.0 99.00
2015 05 26 13 50  90  6.1  7.3  1.42  6.25  5.24 111 1016.7  26.9  27.1  22.9 99.0 99.00
2015 05 26 14 50  90  5.3  6.2  1.41  7.14  5.26 106 1016.7  26.9  27.2  23.4 99.0 99.00
2015 05 26 15 50  91  4.6  5.4  1.34  6.25  5.36 106 1016.2  26.9  27.2  23.2 99.0 99.00
2015 05 26 16 50  83  4.2  5.1  1.22  6.25  5.22 106 1015.6  26.9  27.3  23.4 99.0 99.00
