#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 05 25 18 50  94  4.1  4.9  0.58  5.56  4.16 999 1009.4  29.2  29.5  24.7 99.0 99.00
2010 05 25 19 50  92  4.9  5.6  0.57  5.56  4.07 999 1008.6  29.3  29.5  24.3 99.0 99.00
2010 05 25 20 50  89  4.2  4.8  0.55  4.76  3.84 999 1008.2  29.4  29.5  24.5 99.0 99.00
2010 05 25 21 50  90  4.6  5.2  0.58  5.26  3.84 999 1007.9  29.5  29.3  24.2 99.0 99.00
2010 05 25 22 50  88  4.7  5.4  0.51  5.00  3.75 999 1008.3  29.5  29.2  24.4 99.0 99.00
2010 05 25 23 50  80  4.7  6.1  0.52  4.76  3.79 999 1008.8  28.9  29.2  25.0 99.0 99.00
2010 05 26 00 50  82  5.3  5.9  0.47  5.00  3.77 999 1009.7  28.9  29.1  24.7 99.0 99.00
2010 05 26 01 50  88  5.3  6.1  0.47  5.26  3.76 999 1010.2  28.9  29.1  24.9 99.0 99.00
2010 05 26 02 50  86  4.8  5.4  0.48  5.00  3.67 999 1010.5  28.9  29.1  24.9 99.0 99.00
2010 05 26 03 50 118  5.6  6.4  0.44  5.00  3.67 999 1010.5  28.4  29.1  25.2 99.0 99.00
2010 05 26 04 50 109  3.7  4.4  0.45  5.88  3.68 999 1010.0  28.4  28.9  24.8 99.0 99.00
2010 05 26 05 50 105  3.7  4.5  0.49  4.35  3.71 999 1009.6  28.3  28.8  25.1 99.0 99.00
2010 05 26 06 50 131  3.1  3.7  0.49  4.17  3.78 999 1009.1  28.2  28.9  24.9 99.0 99.00
2010 05 26 07 50 130  3.2  4.0  0.51  4.35  4.08 999 1009.1  28.1  28.9  25.0 99.0 99.00
2010 05 26 08 50 146  1.5  2.1  0.51  4.17  4.04 999 1009.0  28.0  29.0  25.1 99.0 99.00
2010 05 26 09 50 113  1.1  1.6  0.50  4.17  4.20 999 1008.9  28.0  29.0  25.2 99.0 99.00
2010 05 26 10 50  22  0.3  0.9  0.49  4.35  4.07 999 1009.2  27.7  28.9  25.4 99.0 99.00
2010 05 26 11 50 106  2.2  2.7  0.50  4.17  4.06 999 1009.8  27.7  28.9  25.7 99.0 99.00
2010 05 26 12 50  39  1.0  1.2  0.55  4.55  4.23 999 1010.1  29.3  28.9  23.2 99.0 99.00
2010 05 26 13 50 103  0.7  1.0  0.48  5.88  4.24 999 1010.3  29.4  29.1  24.0 99.0 99.00
2010 05 26 14 50  75  0.5  1.2  0.55  4.35  4.43 999 1010.4  30.1  29.7  24.2 99.0 99.00
2010 05 26 15 50  83  1.2  1.8  0.53  4.55  4.43 999 1010.1  29.6  30.6  24.1 99.0 99.00
2010 05 26 16 50  70  1.7  2.6  0.62  5.56  4.52 999 1009.9  29.5  30.7  24.4 99.0 99.00
2010 05 26 17 50  67  1.6  2.3  0.62  5.26  4.56 999 1009.8  29.5  30.7  24.3 99.0 99.00
2010 05 26 18 50  83  1.9  2.9  0.69  5.00  4.58 999 1009.4  29.4  30.3  24.0 99.0 99.00
2010 05 26 19 50 108  2.1  2.8  0.63  5.00  4.59 999 1008.8  29.5  31.1  23.8 99.0 99.00
2010 05 26 20 50 109  1.5  2.1  0.65  4.76  4.59 999 1008.1  29.5  30.8  23.9 99.0 99.00
2010 05 26 21 50  88  1.2  1.7  0.66  5.00  4.71 999 1007.5  29.7  30.4  24.1 99.0 99.00
2010 05 26 22 50  10  0.5  1.1  0.69  5.56  4.84 999 1007.6  30.0  30.4  24.2 99.0 99.00
2010 05 26 23 50 143  0.5  1.3  0.73  6.67  4.99 999 1008.1  29.1  30.6  24.6 99.0 99.00
2010 05 27 00 50 160  1.0  1.7  0.71  6.25  5.04 999 1009.0  28.9  30.1  24.3 99.0 99.00
2010 05 27 01 50  47  0.9  2.5  0.69  6.25  5.12 999 1009.9  29.0  30.3  24.4 99.0 99.00
2010 05 27 02 50  27  1.1  1.5  0.64  6.67  5.28 999 1010.7  28.7  29.9  24.4 99.0 99.00
2010 05 27 03 50 217  2.0  2.8  0.58  5.88  5.04 999 1010.7  28.5  29.9  25.1 99.0 99.00
2010 05 27 04 50 207  1.7  2.1  0.60  7.14  5.04 999 1010.4  28.7  29.4  24.6 99.0 99.00
2010 05 27 05 50 156  0.3  0.6  0.67  7.14  5.31 999 1009.8  28.6  29.6  24.6 99.0 99.00
2010 05 27 06 50 183  1.1  1.4  0.62  7.14  5.12 999 1009.1  28.5  29.6  24.8 99.0 99.00
2010 05 27 07 50 204  0.7  1.3  0.57  7.69  5.19 999 1008.8  28.4  29.7  24.9 99.0 99.00
2010 05 27 08 50 186  2.7  3.2  0.57  7.14  5.09 999 1008.4  28.3  29.7  24.8 99.0 99.00
2010 05 27 09 50 245  0.9  1.4  0.60  7.69  5.37 999 1008.0  28.3  29.6  24.7 99.0 99.00
2010 05 27 10 50 193  1.0  1.6  0.56  7.69  5.25 999 1008.6  28.3  29.6  24.8 99.0 99.00
2010 05 27 11 50 168  1.2  1.8  0.65  7.69  5.46 999 1009.4  28.6  29.7  24.9 99.0 99.00
2010 05 27 12 50 145  1.0  1.6  0.65  7.69  5.43 999 1009.8  28.8  29.8  24.6 99.0 99.00
2010 05 27 13 50  83  0.8  1.5  0.66  7.69  5.54 999 1009.9  29.0  29.8  24.7 99.0 99.00
2010 05 27 14 50  70  0.2  0.5  0.69  7.14  5.60 999 1010.1  30.5  29.8  24.1 99.0 99.00
2010 05 27 15 50 136  1.2  1.7  0.77  7.69  5.38 999 1010.1  29.8  30.5  24.1 99.0 99.00
2010 05 27 16 50  88  0.8  1.2  0.71  7.14  5.16 999 1010.0  29.9  30.9  24.2 99.0 99.00
2010 05 27 17 50 151  1.0  1.8  0.72  7.14  5.11 999 1009.6  30.0  31.6  24.0 99.0 99.00
2010 05 27 18 50 137  0.7  1.9  0.82  7.14  5.37 999 1009.2  30.5  31.6  24.0 99.0 99.00
2010 05 27 19 50 161  0.8  1.1  0.75  7.14  5.17 999 1008.5  30.5  31.6  23.2 99.0 99.00
2010 05 27 20 50 156  0.3  0.7  0.72  6.67  5.14 999 1007.7  30.8  30.8  23.7 99.0 99.00
2010 05 27 21 50 143  3.5  4.4  0.70  6.67  5.02 999 1007.5  29.0  32.0  25.2 99.0 99.00
2010 05 27 22 50 347  1.8  3.9  0.70  8.33  5.02 999 1008.0  28.4  31.3  24.4 99.0 99.00
2010 05 27 23 50 167  5.5  6.1  0.81  8.33  5.34 999 1008.5  27.9  30.5  25.1 99.0 99.00
2010 05 28 00 50 135  2.0  2.5  0.86  7.69  5.17 999 1009.5  28.8  29.7  24.4 99.0 99.00
2010 05 28 01 50 188  3.3  3.9  0.72  8.33  5.48 999 1010.0  28.8  29.7  25.1 99.0 99.00
2010 05 28 02 50 208  3.4  4.0  0.74  8.33  5.50 999 1010.6  28.5  29.7  25.7 99.0 99.00
2010 05 28 03 50 216  2.4  2.9  0.74  8.33  5.33 999 1010.6  28.6  29.7  25.7 99.0 99.00
2010 05 28 04 50 279  1.2  1.7  0.67  8.33  4.86 999 1010.2  28.6  29.5  25.6 99.0 99.00
2010 05 28 05 50 249  5.2 11.2  0.53  7.69  4.61 999 1009.8  27.9  29.6  25.9 99.0 99.00
2010 05 28 06 50 250  5.6  7.2  0.58  8.33  4.79 999 1009.1  25.3  29.6  24.8 99.0 99.00
2010 05 28 07 50 266  5.0  6.3  0.67  8.33  4.20 999 1008.6  26.1  29.4  25.1 99.0 99.00
2010 05 28 08 50 282  5.1  5.9  0.86  5.00  4.39 999 1008.5  26.3  29.6  25.6 99.0 99.00
2010 05 28 09 50 290  5.6  6.5  1.04  5.00  4.38 999 1008.4  26.5  29.5  25.8 99.0 99.00
2010 05 28 10 50 316  5.5  7.0  1.16  8.33  4.84 999 1008.4  26.5  29.4  25.0 99.0 99.00
2010 05 28 11 50 351  4.0  4.9  1.09  5.88  4.94 999 1009.3  26.8  29.3  25.1 99.0 99.00
2010 05 28 12 50 342  3.5  4.5  1.29  6.67  5.29 999 1010.0  27.3  29.3  24.7 99.0 99.00
2010 05 28 13 50 353  1.9  2.8  1.15  6.25  5.06 999 1010.3  28.5  29.3  23.8 99.0 99.00
2010 05 28 14 50 331  3.1  3.8  1.05  6.67  5.12 999 1010.8  28.7  29.4  24.0 99.0 99.00
2010 05 28 15 50 315  2.9  3.7  1.00  6.25  5.24 999 1011.1  28.6  29.5  24.5 99.0 99.00
2010 05 28 16 50 328  3.3  4.1  0.91  6.67  5.05 999 1011.0  28.5  29.4  25.0 99.0 99.00
2010 05 28 17 50 350  4.0  4.6  0.99  6.25  5.28 999 1010.8  28.5  29.4  24.1 99.0 99.00
2010 05 28 18 50 337  5.0  5.9  0.82  6.25  4.94 999 1010.4  27.3  29.4  24.6 99.0 99.00
2010 05 28 19 50  34  3.1  4.1  0.85  6.25  4.86 999 1009.8  27.3  29.4  24.2 99.0 99.00
2010 05 28 20 50  17  2.1  2.7  0.82  6.25  4.82 999 1009.3  27.5  29.4  24.7 99.0 99.00
2010 05 28 21 50 349  1.8  2.5  0.66  6.25  4.68 999 1009.1  28.2  29.5  24.9 99.0 99.00
2010 05 28 22 50 346  2.2  2.8  0.65  5.88  4.89 999 1009.1  28.2  29.5  25.5 99.0 99.00
2010 05 28 23 50   3  5.2  6.0  0.69  6.25  4.54 999 1009.4  28.9  29.3  24.1 99.0 99.00
2010 05 29 00 50  18  4.1  5.0  0.64  5.56  4.48 999 1009.9  28.8  29.2  24.5 99.0 99.00
2010 05 29 01 50  14  2.9  3.7  0.61  4.55  4.29 999 1010.2  28.8  29.0  24.5 99.0 99.00
2010 05 29 02 50  11  1.8  2.3  0.59  4.55  4.34 999 1010.6  28.8  29.0  24.2 99.0 99.00
2010 05 29 03 50 356  1.9  2.4  0.61  4.55  4.55 999 1010.8  28.7  29.0  24.7 99.0 99.00
2010 05 29 04 50 342  2.6  3.0  0.55  4.76  4.50 999 1010.4  28.7  28.9  24.7 99.0 99.00
2010 05 29 05 50 306  2.9  3.6  0.57  4.35  4.42 999 1010.0  28.6  29.0  24.7 99.0 99.00
2010 05 29 06 50 301  2.8  3.5 99.00 99.00 99.00 999 1009.3  28.6  28.9  24.2 99.0 99.00
2010 05 29 07 50 298  4.3  5.1  0.57  4.55  4.55 999 1008.8  28.4  29.0  24.4 99.0 99.00
2010 05 29 08 50 298  3.5  4.2  0.50  4.17  4.41 999 1008.8  28.4  29.0  24.0 99.0 99.00
2010 05 29 09 50 302  2.6  3.4  0.51  4.55  4.39 999 1009.2  28.3  28.9  23.6 99.0 99.00
2010 05 29 10 50 294  3.1  4.3  0.48  4.35  4.45 999 1009.5  28.4  29.0  23.3 99.0 99.00
2010 05 29 11 50 301  3.7  4.8  0.47  4.17  4.39 999 1010.5  28.6  29.1  23.6 99.0 99.00
2010 05 29 12 50 296  3.6  4.3  0.49  4.76  4.29 999 1011.3  28.9  29.1  23.0 99.0 99.00
2010 05 29 13 50 310  2.3  3.0  0.45  4.17  4.33 999 1011.6  29.1  29.1  22.9 99.0 99.00
2010 05 29 14 50 310  2.0  2.8  0.44  4.17  4.34 999 1011.8  29.4  29.0  22.7 99.0 99.00
2010 05 29 15 50 312  1.6  2.1  0.47  4.00  3.99 999 1011.7  29.5  29.2  22.7 99.0 99.00
2010 05 29 16 50 321  1.7  2.5  0.45  4.17  4.19 999 1011.7  29.6  29.6  23.3 99.0 99.00
2010 05 29 17 50 328  3.0  3.7  0.42  3.85  4.25 999 1011.3  29.5  29.9  23.3 99.0 99.00
2010 05 29 18 50 312  2.7  3.7  0.42  4.00  4.22 999 1011.0  29.5  29.8  22.6 99.0 99.00
