YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 06 06 03 00  86  8.2  9.8 99.00 99.00 99.00  77 1011.1  28.8  29.0 999.0 99.0 99.00
2005 06 06 04 00  96  9.4 11.2 99.00 99.00 99.00  79 1011.6  29.0  29.0 999.0 99.0 99.00
2005 06 06 05 00 103  9.4 10.9 99.00 99.00 99.00  78 1011.6  29.0  28.9 999.0 99.0 99.00
2005 06 06 06 00 114  7.5  9.0 99.00 99.00 99.00  84 1011.4  27.7  28.9 999.0 99.0 99.00
2005 06 06 07 00 118  7.0 10.4 99.00 99.00 99.00  85 1011.1  25.4  28.9  23.7 99.0 99.00
2005 06 06 08 00 119  5.4  7.8 99.00 99.00 99.00  82 1010.1  26.4  28.9  25.1 99.0 99.00
2005 06 06 09 00 125  5.7  7.5 99.00 99.00 99.00  85 1010.3  26.9  28.8  24.8 99.0 99.00
2005 06 06 10 00 104  5.6  6.7 99.00 99.00 99.00  83 1010.5  27.3  28.8  23.8 99.0 99.00
2005 06 06 11 00 114  7.2  8.5 99.00 99.00 99.00  84 1010.5  27.6  28.9  24.2 99.0 99.00
2005 06 06 12 00 116  5.8  6.8 99.00 99.00 99.00  84 1011.1  27.9  28.9  25.3 99.0 99.00
2005 06 06 13 00 118  5.8  6.9 99.00 99.00 99.00  79 1011.5  27.9  29.0  25.1 99.0 99.00
2005 06 06 14 00  92  5.3  6.1 99.00 99.00 99.00  78 1012.0  27.6  29.0  24.8 99.0 99.00
2005 06 06 15 00 112  5.2  6.0 99.00 99.00 99.00  83 1012.4  28.1  29.0  25.5 99.0 99.00
2005 06 06 16 00  97  4.3  5.5 99.00 99.00 99.00  85 1012.2  28.4  29.1  25.5 99.0 99.00
2005 06 06 17 00 101  6.1  7.2 99.00 99.00 99.00  80 1012.3  28.6  29.2  25.8 99.0 99.00
2005 06 06 18 00  81  6.9  8.3 99.00 99.00 99.00  86 1011.6  28.1  29.2  24.8 99.0 99.00
2005 06 06 19 00  93  7.8  9.0  1.88  8.33  5.97  74 1010.9  27.7  29.2  24.9 99.0 99.00
2005 06 06 20 00  79  5.1  5.9  1.80  9.09  5.85  79 1010.1  27.6  29.2  24.2 99.0 99.00
2005 06 06 21 00  70  5.2  5.9  1.74  8.33  6.15  77 1009.8  27.8  29.2  25.5 99.0 99.00
2005 06 06 22 00  64  5.1  5.8  1.75  9.09  5.99  82 1009.4  28.5  29.2  25.0 99.0 99.00
2005 06 06 23 00  77  5.2  6.1  1.69  8.33  6.10  71 1009.7  28.4  29.1  24.7 99.0 99.00
2005 06 07 00 00  68  5.2  6.0  1.80  8.33  6.17  74 1010.6  28.2  29.1  25.2 99.0 99.00
2005 06 07 01 00  54  4.3  4.9  1.70  8.33  5.95  73 1010.6  28.2  29.1  25.6 99.0 99.00
2005 06 07 02 00  65  6.6  7.5  1.61  8.33  5.92  74 1010.9  28.0  29.0  24.4 99.0 99.00
2005 06 07 03 00  68  6.5  7.7  1.64  8.33  5.74  69 1011.2  28.0  29.0  25.6 99.0 99.00
2005 06 07 04 00  62  6.9  8.0  1.40  8.33  5.35  72 1011.2  28.3  29.0  24.4 99.0 99.00
2005 06 07 05 00  63  7.0  8.4  1.54  8.33  5.53  74 1010.8  28.2  29.0  25.6 99.0 99.00
2005 06 07 06 00  73  5.3  7.3  1.53  7.69  5.31  72 1010.3  28.1  29.0  25.7 99.0 99.00
