YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 03 04 00 104  4.7  5.9  1.02  6.67  5.08 999 1016.3  26.5  27.0 999.0 99.0 99.00
2006 01 03 05 00  97  4.5  5.3 99.00 99.00 99.00 999 1016.2  26.6  27.0 999.0 99.0 99.00
2006 01 03 06 00  88  4.8  5.8  0.96  7.69  5.14 999 1015.9  26.5  27.0 999.0 99.0 99.00
2006 01 03 07 00  81  3.7  4.5  1.06  7.69  5.35 999 1015.7  26.4  27.0 999.0 99.0 99.00
2006 01 03 08 00  82  2.5  3.2  0.97  8.33  5.30 999 1015.3  26.3  27.0 999.0 99.0 99.00
2006 01 03 09 00  70  3.1  3.8  0.88  7.69  5.15 999 1015.2  26.4  27.0 999.0 99.0 99.00
2006 01 03 10 00  75  5.0  5.9  0.96  7.69  5.26 999 1015.5  26.3  27.0 999.0 99.0 99.00
2006 01 03 11 00  66  4.4  5.6  1.00  7.69  5.46 999 1015.7  26.2  27.0 999.0 99.0 99.00
2006 01 03 12 00  51  3.6  4.3  0.92  7.69  5.34 999 1016.2  26.2  27.0 999.0 99.0 99.00
2006 01 03 13 00  71  3.5  4.6  0.97  7.69  5.48 999 1016.6  26.4  27.0 999.0 99.0 99.00
2006 01 03 14 00  74  4.4  5.1  0.94  7.69  5.45 999 1017.1  26.5  27.0 999.0 99.0 99.00
2006 01 03 15 00  81  4.3  5.0 99.00 99.00 99.00 999 1017.6  26.5  27.0 999.0 99.0 99.00
2006 01 03 16 00  64  4.5  5.4  0.85  7.69  5.39 999 1017.8  26.5  27.1 999.0 99.0 99.00
2006 01 03 17 00  64  4.6  5.4  0.96  7.69  5.70 999 1017.3  26.6  27.1 999.0 99.0 99.00
2006 01 03 18 00  67  4.9  5.9  0.95  8.33  5.70 999 1016.6  26.6  27.1 999.0 99.0 99.00
2006 01 03 19 00  64  4.5  5.4  0.92  7.69  5.51 999 1015.6  26.7  27.2 999.0 99.0 99.00
2006 01 03 20 00  77  4.5  5.1  0.84  7.69  5.14 999 1014.9  26.6  27.2 999.0 99.0 99.00
2006 01 03 21 00  90  4.2  4.7  0.90  8.33  5.47 999 1014.5  26.6  27.2 999.0 99.0 99.00
2006 01 03 22 00 102  4.1  5.5  0.89  7.69  5.51 999 1014.6  26.6  27.2 999.0 99.0 99.00
2006 01 03 23 00  70  4.0  4.9  0.87  7.69  5.29 999 1014.9  26.5  27.1 999.0 99.0 99.00
2006 01 04 00 00  60  3.8  4.6  0.87  8.33  5.28 999 1015.4  26.5  27.1 999.0 99.0 99.00
2006 01 04 01 00  44  4.7  5.6  0.84  7.69  5.38 999 1015.9  26.4  27.1 999.0 99.0 99.00
2006 01 04 02 00  38  4.9  5.9  0.85  7.69  5.38 999 1016.2  26.5  27.1 999.0 99.0 99.00
2006 01 04 03 00  39  4.6  5.3  0.80  6.25  5.10 999 1016.5  26.3  27.0 999.0 99.0 99.00
2006 01 04 04 00  41  4.9  5.7  0.80  7.69  5.24 999 1016.7  26.3  27.1 999.0 99.0 99.00
2006 01 04 05 00  38  4.6  5.8  0.76  7.69  5.34 999 1016.3  26.2  27.0 999.0 99.0 99.00
2006 01 04 06 00  37  4.5  5.3  0.78  6.67  5.48 999 1015.8  26.1  27.0 999.0 99.0 99.00
2006 01 04 07 00  40  5.2  5.9  0.81  8.33  5.39 999 1015.6  26.1  27.0 999.0 99.0 99.00
2006 01 04 08 00  53  4.8  5.7 99.00 99.00 99.00 999 1015.2  26.0  27.0 999.0 99.0 99.00
2006 01 04 09 00  36  5.6  6.4  0.80  8.33  5.46 999 1014.6  25.8  27.0 999.0 99.0 99.00
2006 01 04 10 00  30  6.3  7.7  0.77  7.69  5.19 999 1014.7  25.7  27.0 999.0 99.0 99.00
2006 01 04 11 00  43  5.4  6.8  0.77  8.33  5.14 999 1015.1  25.8  27.0 999.0 99.0 99.00
2006 01 04 12 00  50  5.2  6.1  0.70  7.69  4.79 999 1015.6  25.9  27.0 999.0 99.0 99.00
2006 01 04 13 00  67  4.3  5.6 99.00 99.00 99.00 999 1016.2  26.0  27.0 999.0 99.0 99.00
2006 01 04 14 00  54  4.6  5.6 99.00 99.00 99.00 999 1016.9  26.1  27.0 999.0 99.0 99.00
2006 01 04 15 00  62  4.7  5.6  0.88  7.69  5.41 999 1017.4  26.3  27.0 999.0 99.0 99.00
2006 01 04 16 00  58  4.0  4.7  0.77  7.69  5.08 999 1017.2  26.4  27.1 999.0 99.0 99.00
2006 01 04 17 00  56  3.7  4.4 99.00 99.00 99.00 999 1016.5  26.3  27.1 999.0 99.0 99.00
2006 01 04 18 00  47  4.4  5.4  0.80  8.33  5.30 999 1015.5  26.2  27.1 999.0 99.0 99.00
2006 01 04 19 00  59  4.2  5.3  0.83  8.33  5.49 999 1014.5  26.1  27.1 999.0 99.0 99.00
2006 01 04 20 00  61  3.2  3.9  0.85  8.33  5.63 999 1013.9  26.1  27.1 999.0 99.0 99.00
2006 01 04 21 00  55  2.9  3.6  0.80  8.33  5.53 999 1013.7  26.1  27.1 999.0 99.0 99.00
2006 01 04 22 00  38  2.8  3.6  0.91  7.69  5.99 999 1013.8  26.2  27.1 999.0 99.0 99.00
2006 01 04 23 00  24  3.6  4.3  0.81  8.33  5.73 999 1014.0  26.0  27.1 999.0 99.0 99.00
2006 01 05 00 00  16  4.1  5.0  0.82  9.09  6.10 999 1014.5  26.0  27.1 999.0 99.0 99.00
2006 01 05 01 00  17  4.8  6.3  0.80  8.33  5.72 999 1015.1  25.9  27.1 999.0 99.0 99.00
2006 01 05 02 00  32  4.5  5.4  0.80  8.33  5.86 999 1015.5  25.9  27.0 999.0 99.0 99.00
2006 01 05 03 00  16  3.8  4.9  0.79  9.09  6.00 999 1015.9  25.9  27.0 999.0 99.0 99.00
2006 01 05 04 00  22  3.5  4.6  0.70  7.69  5.62 999 1016.1  25.8  27.0 999.0 99.0 99.00
2006 01 05 05 00  37  3.1  3.7  0.73  9.09  5.87 999 1015.6  25.8  27.0 999.0 99.0 99.00
2006 01 05 06 00  30  2.6  3.4 99.00 99.00 99.00 999 1015.2  25.7  27.0 999.0 99.0 99.00
2006 01 05 07 00  36  2.8  3.5  0.69  8.33  5.82 999 1014.6  25.6  27.0 999.0 99.0 99.00
2006 01 05 08 00  31  2.4  3.1  0.71  8.33  5.62 999 1014.2  25.5  27.0 999.0 99.0 99.00
2006 01 05 09 00  30  2.7  3.8 99.00 99.00 99.00 999 1013.8  25.5  27.0 999.0 99.0 99.00
