#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 50  86  7.1  8.1  1.10  8.33  4.57 112 1016.8  27.1  27.7  21.5 99.0 99.00
2008 01 01 01 50  92  6.8  7.9  1.11  7.69  4.31 112 1017.4  27.0  27.7  21.6 99.0 99.00
2008 01 01 02 50  89  6.1  7.2  1.10  7.14  4.34 114 1017.8  26.9  27.7  22.0 99.0 99.00
2008 01 01 03 50 104  5.9  6.9  1.06  7.14  4.46 112 1017.9  26.9  27.6  21.9 99.0 99.00
2008 01 01 04 50 103  5.7  6.8  1.03  7.69  4.75 119 1017.8  26.9  27.6  21.7 99.0 99.00
2008 01 01 05 50  92  6.3  7.2  1.07  7.69  4.44 114 1017.4  26.8  27.6  21.7 99.0 99.00
2008 01 01 06 50  80  5.1  5.8  1.04  7.69  4.37 105 1017.3  26.7  27.6  21.6 99.0 99.00
2008 01 01 07 50  71  5.2  6.4  1.03  7.69  4.63 111 1017.0  26.6  27.6  21.0 99.0 99.00
2008 01 01 08 50  74  4.6  5.7  1.02  7.14  4.67 116 1016.7  26.5  27.6  21.1 99.0 99.00
2008 01 01 09 50  65  4.7  5.6  1.00  9.09  4.67 121 1016.9  26.5  27.6  21.1 99.0 99.00
2008 01 01 10 50  53  4.7  6.0  0.96  7.14  4.59 126 1017.6  26.5  27.6  20.8 99.0 99.00
2008 01 01 11 50  47  4.3  5.4  0.90  7.69  4.76 126 1018.2  26.5  27.6  21.1 99.0 99.00
2008 01 01 12 50  55  4.2  4.8  1.01  6.67  4.95 117 1018.8  26.6  27.6  20.6 99.0 99.00
2008 01 01 13 50  80  4.3  5.0  0.99  6.67  4.86 112 1019.5  26.9  27.6  21.0 99.0 99.00
2008 01 01 14 50  68  3.3  4.5  1.03  6.67  5.04 113 1020.3  27.1  27.6  20.7 99.0 99.00
2008 01 01 15 50  65  4.1  4.9  0.99  7.14  5.06 115 1020.4  27.2  27.7  20.5 99.0 99.00
2008 01 01 16 50  47  4.5  5.5  0.94  9.09  4.89 117 1020.1  26.9  27.8  21.3 99.0 99.00
2008 01 01 17 50  51  4.3  5.2  0.91  9.09  4.93 116 1019.5  27.1  27.8  20.7 99.0 99.00
2008 01 01 18 50  43  4.5  5.5  0.94  7.14  4.88 119 1018.8  26.9  27.8  20.6 99.0 99.00
2008 01 01 19 50  56  4.6  5.8  0.90  7.14  4.84 115 1018.1  26.9  27.8  21.0 99.0 99.00
2008 01 01 20 50  48  4.6  5.6  0.81  7.14  4.65 115 1017.9  26.8  27.8  20.4 99.0 99.00
2008 01 01 21 50  44  4.8  5.8  0.87  6.67  4.72 119 1018.1  26.9  27.8  20.6 99.0 99.00
2008 01 01 22 50  46  5.4  6.6  0.78  6.67  4.87 119 1018.3  26.7  27.6  20.5 99.0 99.00
2008 01 01 23 50  35  5.2  6.2  0.78  6.25  4.81 108 1018.6  26.6  27.7  20.8 99.0 99.00
2008 01 02 00 50  53  4.9  6.4  0.81  8.33  4.65 110 1019.5  26.6  27.6  20.6 99.0 99.00
2008 01 02 01 50  49  4.5  5.6  0.76  9.09  4.85 112 1020.0  26.6  27.6  20.8 99.0 99.00
2008 01 02 02 50  52  5.3  6.4  0.81  9.09  4.56 110 1020.1  26.6  27.5  21.1 99.0 99.00
2008 01 02 03 50  51  5.5  7.2  0.79  7.14  4.32 121 1020.1  26.5  27.5  21.2 99.0 99.00
2008 01 02 04 50  49  6.2  7.1  0.79  9.09  4.35 119 1019.7  26.6  27.5  21.2 99.0 99.00
2008 01 02 05 50  39  9.7 11.7  0.81  8.33  4.00 124 1019.3  26.2  27.5  22.1 99.0 99.00
2008 01 02 06 50  57  8.3  9.6  1.03  3.70  3.97 999 1019.1  24.3  27.6  21.0 99.0 99.00
2008 01 02 07 50  37 13.3 15.6  1.27  5.00  4.24   1 1018.6  25.9  27.6  21.4 99.0 99.00
2008 01 02 08 50  41 13.1 15.2  1.79  6.25  4.63   8 1018.3  26.3  27.5  21.3 99.0 99.00
2008 01 02 09 50  31 13.8 17.3  2.47  6.67  5.43  11 1018.6  24.6  27.5  21.9 99.0 99.00
2008 01 02 10 50  29 16.6 19.1  3.14  8.33  5.89 350 1019.3  25.2  27.5  20.2 99.0 99.00
2008 01 02 11 50  23 15.6 19.0  3.65  9.09  6.57 348 1020.6  24.9  27.4  19.4 99.0 99.00
2008 01 02 12 50  32 15.3 18.1  4.03 10.00  6.79 345 1021.5  24.7  27.4  18.9 99.0 99.00
2008 01 02 13 50  18 16.6 19.9  4.07  9.09  6.90 343 1022.5  24.1  27.5  19.1 99.0 99.00
2008 01 02 14 50  22 16.5 19.2  4.44  9.09  7.15 355 1023.6  23.9  27.5  17.4 99.0 99.00
