#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 50  56  5.7  6.6  1.02  6.67  4.59 118 1018.1  26.5  27.0  22.9 99.0 99.00
2015 01 01 01 50  63  6.1  7.2  1.07  7.14  4.82  97 1018.5  26.6  27.0  22.5 99.0 99.00
2015 01 01 02 50  58  6.4  8.0  1.04  8.33  4.77 109 1018.7  26.7  27.0  22.5 99.0 99.00
2015 01 01 03 50  64  5.6  6.7  0.97  7.14  4.66 103 1018.7  26.6  27.0  22.4 99.0 99.00
2015 01 01 04 50  81  5.7  6.7  1.08  6.67  5.05 109 1018.2  26.6  27.0  21.9 99.0 99.00
2015 01 01 05 50  86  5.5  6.5  0.99  6.25  4.93 107 1017.6  26.8  27.0  22.2 99.0 99.00
2015 01 01 06 50  84  6.0  7.2  1.06  6.67  4.82  97 1017.2  26.6  27.0  21.9 99.0 99.00
2015 01 01 07 50  73  5.9  7.0  1.06  5.88  4.77 107 1016.8  26.5  27.0  22.4 99.0 99.00
2015 01 01 08 50  80  6.7  7.7  1.15  6.25  4.77 102 1016.6  26.4  27.0  21.9 99.0 99.00
2015 01 01 09 50  63  6.8  7.7  1.18  7.14  4.93 102 1016.7  26.3  27.0  22.2 99.0 99.00
2015 01 01 10 50  63  7.1  8.4  1.19  6.67  4.77 106 1016.8  26.4  27.0  21.9 99.0 99.00
2015 01 01 11 50  62  7.3  8.5  1.24  7.14  4.87 110 1017.2  26.4  27.0  21.7 99.0 99.00
2015 01 01 12 50  61  8.3 10.0  1.20  7.14  4.68 116 1018.1  26.3  27.0  21.8 99.0 99.00
2015 01 01 13 50  59  8.0  9.4  1.22  6.67  4.64 108 1018.7  26.6  27.0  21.7 99.0 99.00
2015 01 01 14 50  67  9.6 11.3  1.32  6.25  4.64  93 1018.9  26.7  27.0  21.7 99.0 99.00
2015 01 01 15 50  67  9.3 10.6  1.40  7.14  4.72 116 1019.0  26.8  27.0  21.6 99.0 99.00
2015 01 01 16 50  69  8.5 10.2  1.36  7.69  4.63 107 1018.5  26.7  27.0  22.0 99.0 99.00
2015 01 01 18 50  83  8.3  9.7  1.48  5.88  4.67 109 1016.5  26.6  27.1  21.9 99.0 99.00
2015 01 01 19 50  86  8.4  9.9  1.50  6.67  4.72 112 1015.8  26.7  27.1  22.2 99.0 99.00
2015 01 01 20 50  84  8.4  9.9  1.39  5.56  4.61  85 1015.5  26.8  27.1  22.2 99.0 99.00
2015 01 01 21 50  79  7.6  9.0  1.43  5.56  4.78  85 1015.7  26.8  27.1  22.3 99.0 99.00
2015 01 01 22 50  75  8.0  8.9  1.39  6.25  4.74  96 1015.9  26.7  27.0  22.4 99.0 99.00
2015 01 01 23 50  80  8.0 10.3  1.40  5.26  4.69  76 1016.1  26.8  27.0  22.0 99.0 99.00
2015 01 02 00 50  74  8.1  9.4  1.35  6.67  4.66 113 1016.5  26.7  27.0  22.0 99.0 99.00
2015 01 02 01 50  75  8.0  9.5  1.39  6.67  4.71 100 1017.3  26.8  27.0  22.1 99.0 99.00
2015 01 02 02 50  72  8.3  9.8  1.54  6.25  4.83  88 1017.8  26.8  27.0  22.3 99.0 99.00
2015 01 02 03 50  63  8.0 10.0  1.55  6.25  4.88  83 1018.0  26.7  26.9  22.3 99.0 99.00
2015 01 02 04 50  68  8.7 10.0  1.54  6.67  4.95 111 1017.8  26.7  26.9  22.7 99.0 99.00
2015 01 02 05 50  69  8.3  9.6  1.52  6.67  4.99  95 1017.4  26.7  26.9  22.5 99.0 99.00
2015 01 02 06 50  74  7.8  9.1  1.53  5.88  4.95  88 1017.1  26.7  26.9  22.1 99.0 99.00
2015 01 02 07 50  78  7.7  9.1  1.65  7.14  5.21 111 1016.6  26.7  26.9  21.9 99.0 99.00
2015 01 02 08 50  76  8.2  9.4  1.43  6.67  4.98 104 1016.2  26.6  26.9  22.3 99.0 99.00
2015 01 02 09 50  74  8.0  9.4  1.55  6.67  5.15 105 1016.1  26.6  26.9  22.6 99.0 99.00
