#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 102  7.7  8.5  1.54  6.25  4.84 109 1015.9  27.3  27.4  22.9 99.0 99.00
2007 01 01 01 00  95  7.3  8.8  1.54  6.67  4.95 109 1016.6  27.3  27.4  22.8 99.0 99.00
2007 01 01 02 00  95  7.6  8.5  1.41  9.09  4.84 119 1017.0  27.2  27.4  22.5 99.0 99.00
2007 01 01 03 00  92  6.7  7.7  1.39  8.33  4.96 127 1017.3  27.2  27.4  22.7 99.0 99.00
2007 01 01 04 00  89  6.7  7.8  1.53  6.25  5.10 106 1017.4  27.1  27.4  22.6 99.0 99.00
2007 01 01 05 00  88  6.9  8.0  1.48  7.14  5.12 114 1017.0  27.0  27.4  22.7 99.0 99.00
2007 01 01 06 00  91  7.5  8.2  1.69  6.25  5.44 106 1016.4  26.9  27.4  23.0 99.0 99.00
2007 01 01 07 00  83  6.3  7.2  1.60  9.09  5.47 116 1016.1  26.9  27.4  22.9 99.0 99.00
2007 01 01 08 00  82  6.2  6.8  1.62  8.33  5.61 115 1015.7  26.8  27.4  22.8 99.0 99.00
2007 01 01 09 00  75  5.3  5.9  1.50  7.69  5.35 104 1015.4  26.8  27.4  22.7 99.0 99.00
2007 01 01 10 00  78  4.8  5.6  1.49  6.67  5.33  93 1015.5  26.8  27.4  22.7 99.0 99.00
2007 01 01 11 00  90  5.5  6.4  1.39  7.14  5.31 101 1015.4  26.8  27.3  23.1 99.0 99.00
2007 01 01 12 00  93  7.0  7.9  1.45  7.14  5.39  93 1015.7  26.9  27.3  23.0 99.0 99.00
2007 01 01 13 00  92  5.5  6.6  1.42  6.25  5.19 110 1016.6  27.0  27.3  23.2 99.0 99.00
2007 01 01 14 00  90  6.0  6.8  1.43  7.14  5.36 101 1017.4  27.2  27.3  23.2 99.0 99.00
2007 01 01 15 00  88  5.1  5.9  1.40  8.33  5.36 115 1017.9  27.3  27.4  23.3 99.0 99.00
2007 01 01 16 00  86  5.7  6.6  1.35  7.14  5.41 100 1017.8  27.3  27.4  23.6 99.0 99.00
2007 01 01 17 00  91  5.5  6.2  1.38  6.25  5.32 106 1017.5  27.1  27.5  22.9 99.0 99.00
2007 01 01 18 00  88  5.7  7.0  1.33  9.09  5.28 118 1016.8  27.3  27.5  23.2 99.0 99.00
2007 01 01 19 00  92  6.5  7.8  1.33  6.25  5.14  94 1016.2  27.2  27.6  23.4 99.0 99.00
2007 01 01 20 00  89  7.5  8.7  1.33  6.67  5.01 104 1015.9  27.1  27.5  23.2 99.0 99.00
2007 01 01 21 00  85  6.6  7.9  1.31  7.14  4.80 116 1015.5  27.1  27.4  23.2 99.0 99.00
2007 01 01 22 00  87  6.5  7.5  1.33  6.67  4.78 100 1016.0  26.8  27.4  23.4 99.0 99.00
2007 01 01 23 00  77  7.1  8.0  1.32  6.67  4.71 102 1016.3  26.9  27.4  23.0 99.0 99.00
2007 01 02 00 00  66  7.5  8.6  1.26  9.09  4.81 111 1016.4  26.9  27.4  23.2 99.0 99.00
2007 01 02 01 00  70  6.9  7.8  1.31  8.33  5.00 111 1017.0  26.9  27.3  23.3 99.0 99.00
2007 01 02 02 00  76  7.0  8.0  1.22  9.09  4.84 116 1017.7  27.1  27.3  23.0 99.0 99.00
2007 01 02 03 00  70  6.5  7.4  1.34  7.14  5.12 106 1018.0  27.0  27.3  23.3 99.0 99.00
2007 01 02 04 00  83  6.7  7.8  1.12  9.09  4.79 109 1018.0  27.0  27.3  23.4 99.0 99.00
2007 01 02 05 00  87  7.6  8.8  1.22  8.33  4.86 110 1017.9  27.1  27.3  23.3 99.0 99.00
2007 01 02 06 00  90  7.6  9.0  1.33  6.25  4.89 103 1017.6  27.1  27.3  23.2 99.0 99.00
2007 01 02 07 00  94  6.4  7.3  1.29  6.25  4.98  95 1017.1  27.0  27.3  23.1 99.0 99.00
2007 01 02 08 00  97  7.6  9.1  1.24  7.14  4.75  98 1016.5  26.9  27.3  23.1 99.0 99.00
2007 01 02 09 00 100  7.0  7.9  1.27  7.14  4.99 101 1016.0  26.8  27.2  23.1 99.0 99.00
2007 01 02 10 00  99  6.9  7.9  1.27  8.33  4.89 107 1015.9  26.8  27.2  23.0 99.0 99.00
2007 01 02 11 00  96  6.3  7.2  1.31  7.14  5.02 102 1015.9  26.8  27.2  23.0 99.0 99.00
2007 01 02 12 00  89  5.9  6.7  1.16  5.56  4.70 101 1016.6  26.8  27.2  23.2 99.0 99.00
2007 01 02 13 00  86  6.1  6.8  1.32  6.67  5.28 110 1017.4  26.9  27.2  23.1 99.0 99.00
2007 01 02 14 00  79  7.2  8.2  1.19  7.69  4.97 114 1018.2  27.1  27.2  23.4 99.0 99.00
2007 01 02 15 00  76  6.9  8.5  1.16  7.14  4.73 105 1018.6  27.3  27.2  23.4 99.0 99.00
2007 01 02 16 00  71  7.8  9.1  1.22  7.69  4.74 116 1018.6  27.3  27.3  22.8 99.0 99.00
2007 01 02 17 00  76  7.7  9.0  1.25  7.14  4.58 117 1018.3  27.3  27.3  23.2 99.0 99.00
2007 01 02 18 00  71  7.4  8.4  1.29  9.09  4.76 116 1017.6  27.3  27.4  22.8 99.0 99.00
2007 01 02 19 00  81  7.7  9.2  1.27  7.14  4.67 109 1017.1  27.2  27.4  22.9 99.0 99.00
2007 01 02 20 00  81  6.8  7.9  1.27  8.33  4.60  97 1016.5  27.2  27.5  22.9 99.0 99.00
2007 01 02 21 00  76  6.9  7.7  1.20  6.67  4.52 111 1016.4  27.2  27.5  22.7 99.0 99.00
2007 01 02 22 00  66  7.5  8.9  1.19  8.33  4.66 101 1016.6  27.2  27.5  23.1 99.0 99.00
2007 01 02 23 00  56  6.7  8.3  1.15  8.33  4.60  96 1016.6  26.8  27.4  23.3 99.0 99.00
2007 01 03 00 00  78  8.6 10.2  1.10  7.14  4.40 122 1016.7  27.0  27.4  23.8 99.0 99.00
2007 01 03 01 00  70  7.1  8.0  1.18  7.69  4.37  51 1017.4  26.6  27.3  23.2 99.0 99.00
2007 01 03 02 00  77  9.1 10.8  1.29  4.35  4.38  86 1018.0  27.2  27.3  23.2 99.0 99.00
2007 01 03 03 00  80  9.3 10.4  1.27  4.76  4.30  96 1018.3  27.2  27.3  23.5 99.0 99.00
2007 01 03 04 00  75  9.0 10.6  1.35  5.26  4.34 102 1018.5  27.2  27.3  23.4 99.0 99.00
2007 01 03 05 00  77  9.3 11.5  1.39  5.00  4.27  95 1018.3  27.2  27.3  23.4 99.0 99.00
2007 01 03 06 00  73  8.8 10.4 99.00 99.00 99.00 999 1018.0  27.3  27.3  22.9 99.0 99.00
2007 01 03 07 00  75  8.7 10.3  1.38  7.69  4.51  68 1017.7  27.3  27.3  22.4 99.0 99.00
2007 01 03 08 00  66  8.9 10.2  1.47  5.56  4.50 110 1017.8  27.0  27.3  23.0 99.0 99.00
2007 01 03 09 00  68  9.0 10.5  1.49  5.88  4.60 106 1017.6  27.1  27.3  22.8 99.0 99.00
2007 01 03 10 00  71  9.9 11.4  1.58  6.67  4.82 113 1017.7  27.3  27.3  22.4 99.0 99.00
2007 01 03 11 00  68  9.7 11.3  1.52  6.25  4.72 120 1017.6  27.1  27.3  22.9 99.0 99.00
2007 01 03 12 00  76  9.7 11.5  1.65  5.88  4.69 115 1018.1  27.2  27.4  22.8 99.0 99.00
2007 01 03 13 00  81  9.5 11.0  1.68  5.56  4.64 115 1018.6  27.2  27.4  23.1 99.0 99.00
2007 01 03 14 00  83  9.8 11.1  1.65  5.56  4.62 106 1019.3  27.4  27.4  23.1 99.0 99.00
2007 01 03 15 00  82  9.6 11.7  1.73  5.56  4.69 110 1019.8  27.5  27.5  23.3 99.0 99.00
2007 01 03 16 00  96 10.3 11.9  1.69  5.00  4.61 101 1019.7  27.6  27.5  22.7 99.0 99.00
2007 01 03 17 00  94  9.7 11.3  1.68  5.26  4.52 104 1019.0  27.4  27.5  23.1 99.0 99.00
2007 01 03 18 00  95  9.7 11.5  1.71  5.56  4.46 102 1018.4  27.5  27.6  22.3 99.0 99.00
2007 01 03 19 00  94  9.8 11.5  1.73  5.26  4.49 107 1017.5  27.4  27.6  22.5 99.0 99.00
2007 01 03 20 00  93  8.9 10.3  1.75  5.56  4.54 109 1017.4  27.5  27.7  22.3 99.0 99.00
2007 01 03 21 00  93  9.0 10.6  1.65  5.56  4.57 100 1016.8  27.4  27.7  22.5 99.0 99.00
2007 01 03 22 00  91  9.6 10.9  1.77  6.67  4.61 121 1016.7  27.4  27.7  22.3 99.0 99.00
2007 01 03 23 00  92  9.6 10.9  1.69  6.67  4.61 114 1016.6  27.3  27.7  21.8 99.0 99.00
2007 01 04 00 00  81  8.9 10.2  1.85  6.67  4.84 116 1017.0  27.2  27.7  22.1 99.0 99.00
2007 01 04 01 00  89  9.2 10.6  1.79  7.14  4.87 103 1017.6  27.2  27.7  21.8 99.0 99.00
2007 01 04 02 00  84  9.0 10.5  1.75  7.69  4.78 111 1018.0  27.1  27.7  21.8 99.0 99.00
2007 01 04 03 00  87 10.1 11.8  1.77  6.67  4.86  94 1018.1  27.1  27.7  22.1 99.0 99.00
2007 01 04 04 00  84 10.6 11.8  1.84  6.67  4.87 100 1018.3  27.0  27.7  21.9 99.0 99.00
2007 01 04 05 00  73  9.5 10.8  1.81  7.69  5.00  96 1017.8  27.0  27.7  22.3 99.0 99.00
2007 01 04 06 00  76  9.9 11.8  1.73  7.69  4.90 104 1017.4  26.9  27.7  22.5 99.0 99.00
2007 01 04 07 00  79  9.8 11.9  1.85  7.69  5.09 102 1017.2  26.9  27.7  22.2 99.0 99.00
2007 01 04 08 00  84 10.2 11.8  1.91  7.14  5.16  96 1016.9  26.8  27.6  22.1 99.0 99.00
2007 01 04 09 00  89  9.8 11.6  1.79  7.14  4.89  86 1016.5  26.8  27.6  21.6 99.0 99.00
2007 01 04 10 00  95  9.9 11.3  1.90  8.33  5.08 104 1016.4  26.7  27.6  21.1 99.0 99.00
2007 01 04 11 00  99  9.7 11.5  1.86  8.33  5.21 104 1016.3  26.7  27.6  20.3 99.0 99.00
2007 01 04 12 00 102  9.3 11.6 99.00 99.00 99.00 999 1016.2  26.7  27.6  20.9 99.0 99.00
2007 01 04 13 00  96  9.3 11.1  1.76  8.33  4.93  98 1016.8  26.9  27.6  21.1 99.0 99.00
2007 01 04 14 00  96  9.0 10.4  1.80  7.14  5.13  91 1017.6  27.1  27.6  21.6 99.0 99.00
2007 01 04 15 00  98  9.8 11.7  1.72  7.69  5.11  96 1017.7  27.3  27.6  21.8 99.0 99.00
2007 01 04 16 00 103  9.3 10.9  1.83  7.69  5.09 109 1017.5  27.3  27.6  22.1 99.0 99.00
2007 01 04 17 00 106  9.7 11.2  1.83  7.14  4.85  97 1016.8  27.4  27.7  22.1 99.0 99.00
2007 01 04 18 00 114  9.1 10.9  1.73  7.69  4.91 102 1015.8  27.5  27.7  22.2 99.0 99.00
2007 01 04 19 00 119  9.5 11.0  1.66  7.69  4.78 106 1014.7  27.4  27.7  22.8 99.0 99.00
2007 01 04 20 00 121  9.9 12.1  1.77  7.14  4.66  97 1014.0  27.5  27.7  22.3 99.0 99.00
2007 01 04 21 00 122 10.1 11.8  1.66  5.88  4.37 106 1013.6  27.5  27.7  22.5 99.0 99.00
2007 01 04 22 00 126 10.9 13.1  1.81  6.67  4.50 111 1013.4  27.4  27.7  22.7 99.0 99.00
2007 01 04 23 00 125 10.2 11.6  1.72  6.67  4.43 106 1013.6  27.4  27.7  23.0 99.0 99.00
2007 01 05 00 00 120 10.1 11.6  1.74  5.88  4.79 111 1013.9  27.6  27.7  22.6 99.0 99.00
2007 01 05 01 00 124  8.5 10.2  1.73  7.14  4.75 104 1014.5  27.4  27.7  23.0 99.0 99.00
2007 01 05 02 00 116  9.5 11.2  1.72  7.14  4.55  96 1014.8  27.4  27.7  23.0 99.0 99.00
2007 01 05 03 00 125  9.5 10.8  1.82  7.69  4.69  99 1015.2  27.5  27.6  22.8 99.0 99.00
2007 01 05 04 00 121  8.5 10.2  1.78  6.67  4.70 102 1015.2  27.5  27.6  23.0 99.0 99.00
2007 01 05 05 00 122  9.3 10.6  1.83  7.69  4.81  97 1014.9  27.5  27.6  22.8 99.0 99.00
2007 01 05 06 00 122  8.2  9.8  1.78  6.67  4.78 104 1014.6  27.4  27.6  22.8 99.0 99.00
2007 01 05 07 00 121  8.9 10.3  1.86  7.14  4.90 107 1013.9  27.3  27.6  22.1 99.0 99.00
2007 01 05 08 00 123  8.4  9.8 99.00 99.00 99.00 999 1013.7  26.9  27.6  22.3 99.0 99.00
2007 01 05 09 00 140  9.0 10.6  1.73  6.67  4.79 104 1013.5  26.6  27.6  20.9 99.0 99.00
2007 01 05 10 00 113  9.4 10.4  1.65  6.67  4.81 112 1013.7  26.3  27.6  22.2 99.0 99.00
2007 01 05 11 00 145  8.5 11.4  1.52  7.14  4.95 107 1013.8  26.5  27.6  22.1 99.0 99.00
2007 01 05 12 00 123  4.0  5.0  1.54  7.14  5.20 103 1014.1  26.2  27.6  22.4 99.0 99.00
2007 01 05 13 00 106  8.6  9.8  1.64  7.14  5.13  90 1014.2  27.2  27.6  22.7 99.0 99.00
2007 01 05 14 00 125  9.0 10.3  1.61  6.67  4.90 111 1014.8  27.5  27.6  22.2 99.0 99.00
2007 01 05 15 00 130  8.3  9.6  1.69  6.67  4.96 104 1015.3  27.6  27.6  22.6 99.0 99.00
2007 01 05 16 00 131  8.4 10.0 99.00 99.00 99.00 999 1015.3  27.7  27.6  22.5 99.0 99.00
2007 01 05 17 00 127  8.4 10.0  1.60  7.69  4.92 105 1014.6  27.6  27.6  22.6 99.0 99.00
2007 01 05 18 00 132  7.0  8.2  1.60  7.14  4.93 109 1013.8  27.5  27.7  22.9 99.0 99.00
2007 01 05 19 00 132  7.4  8.7  1.56  7.69  5.08 121 1012.9  27.5  27.7  22.9 99.0 99.00
