YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 05 03 20 00 155  5.6  6.2 99.00 99.00 99.00 339 1014.5 999.0  28.3 999.0 99.0 99.00
2005 05 03 21 00 143  5.0  5.7 99.00 99.00 99.00 320 1013.9 999.0  28.4 999.0 99.0 99.00
2005 05 03 22 00 139  4.7  5.6 99.00 99.00 99.00 337 1014.2 999.0  28.4 999.0 99.0 99.00
2005 05 03 23 00 126  3.2  3.8 99.00 99.00 99.00 336 1014.7 999.0  28.4 999.0 99.0 99.00
2005 05 04 00 00 120  3.8  4.3 99.00 99.00 99.00 333 1014.8 999.0  28.3 999.0 99.0 99.00
2005 05 04 01 00 128  5.3  6.1 99.00 99.00 99.00 347 1014.8 999.0  28.2 999.0 99.0 99.00
2005 05 04 02 00 135  6.5  7.5 99.00 99.00 99.00 350 1014.9 999.0  28.2 999.0 99.0 99.00
2005 05 04 03 00 124  7.6  8.6 99.00 99.00 99.00 341 1014.9 999.0  28.2 999.0 99.0 99.00
2005 05 04 04 00 107  4.6  5.8 99.00 99.00 99.00 349 1016.6 999.0  28.1 999.0 99.0 99.00
2005 05 04 05 00 126  7.1  8.4 99.00 99.00 99.00 322 1016.3 999.0  28.1 999.0 99.0 99.00
2005 05 04 06 00 128  7.2  9.2 99.00 99.00 99.00 341 1015.4 999.0  28.1 999.0 99.0 99.00
2005 05 04 07 00 119  8.1  9.8 99.00 99.00 99.00 329 1014.5 999.0  28.1 999.0 99.0 99.00
2005 05 04 08 00 115  7.3  8.3 99.00 99.00 99.00 331 1014.2 999.0  28.1 999.0 99.0 99.00
2005 05 04 09 00 113  7.0  8.0 99.00 99.00 99.00 335 1014.3 999.0  28.0 999.0 99.0 99.00
2005 05 04 10 00 123  7.0  7.9 99.00 99.00 99.00 329 1014.2 999.0  28.0 999.0 99.0 99.00
2005 05 04 11 00 138  7.7  9.1 99.00 99.00 99.00 324 1014.5 999.0  28.0 999.0 99.0 99.00
2005 05 04 12 00 133  7.3  8.7 99.00 99.00 99.00 321 1015.0 999.0  28.0 999.0 99.0 99.00
2005 05 04 13 00 135  7.7  9.1 99.00 99.00 99.00 321 1015.9 999.0  28.0 999.0 99.0 99.00
2005 05 04 14 00 141  7.0  8.4 99.00 99.00 99.00 328 1016.5 999.0  28.0 999.0 99.0 99.00
2005 05 04 15 00 140  6.7  8.0 99.00 99.00 99.00 326 1016.8 999.0  28.1 999.0 99.0 99.00
2005 05 04 16 00 141  6.2  6.9 99.00 99.00 99.00 336 1017.1 999.0  28.1 999.0 99.0 99.00
2005 05 04 17 00 121  5.9  6.8  0.80  4.76  3.93 326 1017.0  28.2  28.2  24.7 99.0 99.00
2005 05 04 18 00 124  5.1  6.0  0.83  5.00  4.09 330 1016.8  28.3  28.3  25.0 99.0 99.00
2005 05 04 19 00 128  5.2  5.9  0.80  4.76  4.04 334 1016.4  28.4  28.4  24.7 99.0 99.00
2005 05 04 20 00 130  5.7  6.6  0.81  4.76  4.11 334 1015.6  28.4  28.5  24.7 99.0 99.00
2005 05 04 21 00 132  4.4  5.0  0.86  5.00  4.04 340 1015.2  28.5  28.5  24.1 99.0 99.00
2005 05 04 22 00 130  4.0  4.6  0.82  5.26  4.07 342 1015.3  28.5  28.5  24.3 99.0 99.00
2005 05 04 23 00 119  4.1  4.7  0.88  5.26  4.26 336 1015.2  28.4  28.5  24.4 99.0 99.00
2005 05 05 00 00 112  4.3  5.0  0.82  5.26  4.30 341 1015.5  28.2  28.4  24.4 99.0 99.00
2005 05 05 01 00  98  3.9  4.6  0.74  4.76  4.08 331 1016.1  28.2  28.3  24.3 99.0 99.00
2005 05 05 02 00  91  3.8  4.3  0.72  4.35  4.12 336 1016.4  28.0  28.3  24.4 99.0 99.00
2005 05 05 03 00  91  4.8  5.4  0.77  5.26  4.41 336 1016.9  28.0  28.2  24.4 99.0 99.00
2005 05 05 04 00  83  5.9  6.8  0.72  4.76  4.11 322 1017.2  28.0  28.2  24.4 99.0 99.00
2005 05 05 05 00  78  5.4  5.9  0.68  5.00  4.06 337 1016.9  27.9  28.2  24.2 99.0 99.00
2005 05 05 06 00  98  5.7  6.6  0.67  5.00  3.98 330 1016.3  27.9  28.1  24.0 99.0 99.00
2005 05 05 07 00  99  6.2  7.1  0.66  4.76  3.92 334 1015.7  27.9  28.1  23.9 99.0 99.00
2005 05 05 08 00 115  6.4  7.6  0.66  4.55  3.95 318 1015.2  27.8  28.1  23.6 99.0 99.00
2005 05 05 09 00 102  5.6  6.5  0.67  4.76  3.92 322 1015.2  27.7  28.1  24.5 99.0 99.00
2005 05 05 10 00 110  6.2  7.1  0.62  5.00  3.82 316 1015.3  27.7  28.1  24.1 99.0 99.00
2005 05 05 11 00 121  7.0  8.0  0.62  4.55  3.77 321 1015.6  27.7  28.1  23.9 99.0 99.00
2005 05 05 12 00 115  6.7  8.2  0.61  4.76  3.75 324 1016.1  27.7  28.1  24.2 99.0 99.00
2005 05 05 13 00 123  8.1  9.1  0.62  4.35  3.79 320 1016.3  27.9  28.1  24.8 99.0 99.00
